"序号","data_src_cd","real_src_tbl","_col2","source_table_comment","source_comment_variant_count","metadata_match","metadata_status","metadata_classifications","t01_task_count","source_annotation_task_ids","schema_status","schema_field_count","schema_fields","schema_ddl_task_ids","schema_field_comment_count","schema_field_comments","source_system_name","source_system_name_basis"
"1","STA","ODATA_N_STA.S_TCUSTOMERINFO","943632","客户信息；账户资料表","2","true","ACTIVE","分级_4,自定义_数据重要性_重要","29","39990,40470,40473,40477,63179,63787,63790,63794","DDL_FOUND","56","C_CUSTNO|C_CUSTTYPE|C_CUSTNAME|C_SHORTNAME|C_HELPCODE|C_IDENTITYTYPE|C_IDENTITYNO|C_ZIPCODE|C_ADDRESS|C_PHONE|C_FAXNO|C_MOBILENO|C_EMAIL|C_SEX|C_BIRTHDAY|C_VOCATION|C_EDUCATION|C_INCOME|C_CONTACT|C_CONTYPE|C_CONTNO|C_BILLSENDFLAG|C_CALLCENTER|C_INTERNET|C_SECRETCODE|C_NATIONALITY|C_CITYNO|C_LAWNAME|C_SHACCO|C_SZACCO|C_BROKER|F_AGIO|C_MEMO|C_RESERVE|C_CORPNAME|C_CORPTEL|C_SPECIALCODE|C_ACTCODE|C_BILLSENDPASS|C_ADDRESSINVALID|D_APPENDDATE|D_BACKDATE|C_INVALIDADDRESS|C_BACKREASON|C_MODIFYINFO|C_RECOMMENDER|C_RECOMMENDERTYPE|D_IDNOVALIDDATE|C_INSTREPRIDCODE|C_INSTREPRIDTYPE|D_CONTIDNOVALIDDATE|D_LAWIDNOVALIDDATE|C_INSTITUTIONTYPE|C_SPECIALFUNDACCO|C_ISGLFACCO|DATA_TIME","39957,60735","0","","资产管理分TA系统","CD100 字典"
"2","PAS","ODATA_N_PAS.J_T_DY_CANDIDATE_CAREER_RELATION","858731","简历候选人基础信息表","1","true","ACTIVE","自定义_数据重要性_重要","4","96346,97232,97233,97239","DDL_FOUND","93","ID|RESUME_ID|APPLY_ID|POST_ID|POST_NAME|POST_ORG_NAME|APPLY_DATE|NET_CHANNEL_ID|APPLY_STATUS|REMARK_INFO|INTERVIEW_TYPE|RESUME_PHOTO_URL|MOBILE_PHONE|EMAIL|EMERGENCY_CONTACT|EMERGENCY_CONTACT_PHONE|ADDRESS|CREATE_TIME|UPDATE_TIME|NAME|RESUME_TYPE|GENDER|BIRTHDATE|NATION|POLITICAL_STATUS|BIRTHPLACE|BIRTHPLACE_OVERSEAS|HEIGHT|WEIGHT|NATIONALITY|MARITAL_STATUS|DIPLOMA|CURRENT_LOCATION|CURRENT_LOCATION_OVERSEAS|WORK_YEAR|MIN_ANNUAL_SALARY_REQUIREMENT|MAX_ANNUAL_SALARY_REQUIREMENT|AVAILABLE_TIME|ID_TYPE|ID_NUMBER|REGISTERED_PERMANENT_RESIDENCE|IS_SUBJECT_POST_ADJUSTMENT|FIRST_EXPECT_WORKPLACE|SECOND_EXPECT_WORKPLACE|THIRD_EXPECT_WORKPLACE|EXPECT_WORKPLACE_OVERSEAS|IS_SUBJECT_WORKPLACE_ADJUSTMENT|ENGLISH_PROFICIENCY_AND_CERTIFICATE|ZQHYSPCSQK|IS_PASS_CSP|IS_PASS_NBE|IS_PASS_CPA|IS_PASS_CSR|IS_PASS_CFC|IS_PASS_CFA|CFA_STATUS|OTHER_QUALIFICATION_CERTIFICATE|SPECIALTIES|CRIMINAL_PUNISHMENT_RECORD|EVIL_ORGANIZATION_RECORD|ILLEGAL_OR_UNDISCIPLINED_RECORD|UNFINISHED_FORMALITIES_OR_LIMITING_CONDITIONS|SECURITIES_MARKET_BAN_RECORD|REPUTATION_NEGATIVE_RECORD|FAMILY_PLANNING_VIOLATION_RECORD|ARCHIVAL_FORMALITIES|OTHER_LABOR_CONTRACT_RELATIONSHIP|AMATEUR_SPECIALTY|CHARACTER_ADVANTAGED|CHARACTER_DISADVANTAGED|REASON_FOR_POST|IS_EMPLOYEES_RELATIVES|SOURCE_OF_POST|EXPECT_JOB_CONTENT|OTHER_CONDITION|RESUME_ATTACHMENT_URL|CERTIFICATE_OF_EDUCATION_DEGREE|REPORT_CARD|PUBLISH_ATTACHMENT_URL|FAMILY_RELATIONSHIP_ATTACHMENT_URL|OTHER_ATTACHMENT_URL|COMMITMENT|SIGN_DATE|INVESTIGATION_REPORT_URL|INVESTIGATION_REPORT_TYPE|PERS_CODE|BACKUP1|BACKUP2|BACKUP3|BACKUP4|BACKUP5|DATA_TIME|RECRUIT_TYPE","94420","0","","绩效考核系统（本表数据源别名：大易云招聘数据库）","任务 94420 的数据源记录与别名"
"3","OIS","ODATA_N_OIS.G_HK_COUNTERPARTY","522","衍生品交易对手维护表；香港交易对手","2","true","ACTIVE","自定义_数据重要性_重要,分级_3","14","144556,144559,144560,144561,144563","NO_DDL_FOUND","0","","","0","","OTC综合业务平台","CD100 字典"
"4","HPB","ODATA_N_HPB.XT_PUB_TCOMPANY","321","公司表","1","true","ACTIVE","","5","241593,241595,241596,241597,241598","DDL_FOUND","36","COMPANY_ID|COMPANY_CODE|COMPANY_NAME|COMPANY_FULLNAME|COMPANY_STATUS|MENU_TEMPLATE|PR_ID|COMBI_ENABLE|RIGHT_LEVEL|OPERATOR_UPPERLIMIT|FUND_UPPERLIMIT|PERMIT_MARKETS|ADDRESS|INPUT_DATE|CONTACT_NAME|CONTACT_PHONE|EMAIL|QQ|CONTACT_NAME2|CONTACT_PHONE2|CONTACT_EMAIL2|CONTACT_QQ2|COMPANY_LIQ_TYPE|ORG_TYPE|COMPANY_TYPE|ENTRDIRE_RIGHT|REMARK|REPORT_TYPE|FOREIGN_ORG_FLAG|DEFAULT_VALUE|CUSTOM_ORG_TYPE|OPERATOR_UPPER|QUOTATION_USE_FLAG|ALGOCOMP_LIST|OTC_URL_PREFIX|DATA_TIME","227732","0","","恒生PB主经纪商系统","CD100 字典"
"5","HL2","ODATA_N_HL2.U_OPERCODENAME","60","管理人代码名称对照表","1","true","ACTIVE","自定义_数据重要性_重要","2","132325,132330","DDL_FOUND","6","OPERCODE|OPERNAME|OPERSHORT|TRYSTARTDATE|TRYENDDATE|DATA_TIME","125071","0","","华锐非展示Level2高频行情系统","库目录说明"
"6","GTS","ODATA_N_GTS.G_CUST_INFO","8","客户信息表","1","true","ACTIVE","","6","220565,220567,220568,220569,220570,220571","DDL_FOUND","31","ACCT_NO|MEMBER_ID|CUST_ID|BANK_NO|OPEN_BANK_NAME|ACCOUNT_NO|CUST_NAME|CUST_ABBR|CERT_TYPE_ID|CERT_NUM|ACCT_TYPE|ACCT_STAT|BRANCH_ID|GRADE_ID|M_FARE_MODEL_ID|B_FARE_MODEL_ID|EXCH_PWD|FUND_PWD|OCMA_FLAG|OPEN_CHANNEL|IS_DEFER_SIGN|TRANS_CHECK_INFO|PRINT_NUM|AFFIRM_DATE|O_TERM_TYPE|O_TELLER_ID|O_DATE|M_TERM_TYPE|M_TELLER_ID|M_DATE|DATA_TIME","219225","0","","黄金交易系统","任务 219225 的数据源记录与别名"
"7","ACV","ODATA_N_ACV.H_TGLRXX","3076","管理人信息","1","true","ACTIVE","自定义_数据重要性_重要","6","159851,159853,159855","NO_DDL_FOUND","0","","","0","","托管外包估值系统","CD100 字典"
"8","OIS","ODATA_N_OOM.F_OTC_DERIVATIVE_COUNTERPARTY","407","衍生品交易对手维护表","1","true","ACTIVE","自定义_数据重要性_核心","12","179708,179711,179712,179713,179714,179715,179717,179719,179722,179723","NO_DDL_FOUND","0","","","0","","OTC综合业务平台","CD100 字典"
"9","SSM","ODATA_N_SSM.S_SEAT_USE_UNIT","256","使用单位管理","1","true","ACTIVE","自定义_数据重要性_重要","5","109083,109085,109086,109143","NO_DDL_FOUND","0","","","0","","席位管理系统","库目录说明"
"10","GKS","ODATA_N_GKS.M_PNSCLIENT","61829285","金钥匙用户pnsid表","1","true","ACTIVE","自定义_数据重要性_重要","3","80019","DDL_FOUND","9","_ID|_CLASS|CLIENTTYPE|CLIENTID|PNSID|CHANNEL|CLIENTNAME|CREATETIME|UPDATETIME","66016","0","","金钥匙系统","CD100 字典"
"11","DSA","ODATA_N_DSA.F_FIN_ENTITY","34225","企业主体信息记录表","1","true","ACTIVE","自定义_数据重要性_重要","2","128005,128007","DDL_FOUND","27","ID|ENTITY_NAME|INDUSTRY_SW1|INDUSTRY_SW2|INDUSTRY_WIND|INDUSTRY_WHITEWASH|YEAR|CREATE_TIME|TYPE|REGION|INDUSTRY_IB|MODEL_TYPE|INDUSTRY_GICS1|INDUSTRY_GICS2|INDUSTRY_GICS3|INDUSTRY_GICS4|BRIEFING|LATESTISSURERCREDITRATING2|RATE_FWDISSUER|IS_KEYNOTE|LEGAL_PERSON|STOCK_CODE|IS_LISTED|IS_RESTRICTED|STOCK_NAME|DATA_TIME|UNIFORM_CREDIT","64550","0","","DCAR舆情分析及预警系统","CD100 字典"
"12","ERP","ODATA_N_ERP.C_CUX_CE_BANKS_ALL","36","银行表","1","true","ACTIVE","自定义_数据重要性_重要","2","96347,96348","DDL_FOUND","27","BUSI_DATE|DATA_TIME|BANK_ID|BANK_NUMBER|BANK_NAME|DESCRIPTION|CREATION_DATE|CREATED_BY|LAST_UPDATED_BY|LAST_UPDATE_DATE|LAST_UPDATE_LOGIN|ATTRIBUTE_CATEGORY|ATTRIBUTE1|ATTRIBUTE2|ATTRIBUTE3|ATTRIBUTE4|ATTRIBUTE5|ATTRIBUTE6|ATTRIBUTE7|ATTRIBUTE8|ATTRIBUTE9|ATTRIBUTE10|ATTRIBUTE11|ATTRIBUTE12|ATTRIBUTE13|ATTRIBUTE14|ATTRIBUTE15","95044","0","","企业资源计划","CD100 字典"
