"记录编号","表名","表说明","人工模块归属","人工处理方式","人工核对状态","人工公共加工","人工业务专题","人工结果粒度","人工使用边界","人工判断原因","人工证据位置","人工知识文章","人工核对人","人工核对日期","人工核对基准哈希","人工备注","范围角色","建议模块","建议处理","自动依据","候选公共加工","跨群复用数","候选加工群","元数据匹配","物理身份","第一模块文档入口","全部生产任务","全部读取任务","库外相邻任务","当前基准哈希","图版本","快照核对日期","证据位置","首批分析范围","节点身份状态","节点关联任务","复核提示"
"T-75d1e648b13903be","pdata_n.t98_otc_book_hold_sum","每天一份快照，场外衍生品业务按账簿维度的持仓汇总表，用于场外衍生品持仓监控、估值核算、风险计量与日常交易对账。","","","未核对","","","","","","","","","","","","全图节点（已有externalReads或finalWrites）","第二模块公共加工候选","保留待判定","候选群共享输入及已读样本线索，边界待核","互换合约、账簿与持仓整理","2","K008;K087","PHYSICAL_IDENTITY","dataset:84d08bf9c2e0d75e0d368ac269dcfae65d312dda1da23d70ca2f4b6de078e164","","106590;109369","106590;107937;118174;138194;169145;171179;173559;173843;176330;176360;176877;176930;176941;218601;219735;227251;230202;231741;233302;234568;237586;237888","227251;231741;233302;234568;237586;237888","ceda6d7a29862d0aa6c8281db4167254d24bb6d0b3cf37431157ab2ac14d342d","9dbe562350452a41ae13c1b95f260a631fce9d2f9b8dceeba43e79dbf65f7c02","2026-09-18","建设台账/全图范围核对.json","首批分析对象","CONFIRMED","106590;107937;109369;118174;138194;169145;171179;173559;173843;176330;176360;176877;176930;176941;218601;219735;227251;230202;231741;233302;234568;237586;237888","未作人工决定"
"T-112bafd810b39e6e","pdata_n.t98_otc_comp_mng_rela_info","T98_OTC合约管理关系信息","","","未核对","","","","","","","","","","","","全图节点（已有externalReads或finalWrites）","第二模块公共加工候选","保留待判定","候选群共享输入及已读样本线索，边界待核","销售基础、管理归属与逐日金额","4","K006;K071;K072;K099","PHYSICAL_IDENTITY","dataset:e305ba49f95bb496054a40c861934469db1d1ba96d36b45a53c258a6324bade1","","105743","93338;103457;113993;114013;118141;118143;144887;146386;146516;147921;148124;154068;155410;156651;159763;159768;189972;206208;220979;220981;224351;234584;245631;245660;245696","189972;245631;245660;245696","e9a0d19c990d29f9eda20305d18adbe34488b7904408d14f880f87ae76218da3","9dbe562350452a41ae13c1b95f260a631fce9d2f9b8dceeba43e79dbf65f7c02","2026-09-18","建设台账/全图范围核对.json","首批分析对象","CONFIRMED","93338;103457;105743;113993;114013;118141;118143;144887;146386;146516;147921;148124;154068;155410;156651;159763;159768;189972;206208;220979;220981;224351;234584;245631;245660;245696","未作人工决定"
"T-b91f51555af96808","pdata_n.t98_otc_deri_book_info","T98_场外衍生品账簿信息","","","未核对","","","","","","","","","","","","全图节点（已有externalReads或finalWrites）","第二模块公共加工候选","保留待判定","候选群共享输入及已读样本线索，边界待核","互换合约、账簿与持仓整理","2","K068;K008","PHYSICAL_IDENTITY","dataset:daba3cae756aae4b8f1899b4c0185aae39ec695ae6253bcb3683e32ce2e61646","","145871;211492","107281;107481;118174;138194;155118;163077;166644;171179;173559;173843;176330;176930;176941;176951;177414;178483;218601;228195;245918","177414;178483;228195","883b1bfbc8611a3762fccb3244929373c75eabe7d6bb16eba64fa9e6b762ec04","9dbe562350452a41ae13c1b95f260a631fce9d2f9b8dceeba43e79dbf65f7c02","2026-09-18","建设台账/全图范围核对.json","首批分析对象","CONFIRMED","107281;107481;118174;138194;145871;155118;163077;166644;171179;173559;173843;176330;176930;176941;176951;177414;178483;211492;218601;228195;245918","未作人工决定"
"T-0f9ebdd15593c38a","pdata_n.t98_otc_deri_comp_sale_adtnl_det","T98_场外衍生品合约销售收入附加明细","","","未核对","","","","","","","","","","","","全图节点（已有externalReads或finalWrites）","第二模块公共加工候选","保留待判定","候选群共享输入及已读样本线索，边界待核","销售基础、管理归属与逐日金额","6","K006;K071;K072;K034;K038;K099","PHYSICAL_IDENTITY","dataset:37a5d673846c0cb127f7fed7c44232647c94522662d3d2554e9c4492b1c4d66f","","107491","93338;113993;114013;118141;147921;148124;159763;159768;171370;189972;201318;203879;206208;208230;220979;223867;224351;230202;245631;245660;245696","189972;245631;245660;245696","1b36c30c59f91e984fcdbd2e9029213517aded981529c2e1dd56ecc1fcb58539","9dbe562350452a41ae13c1b95f260a631fce9d2f9b8dceeba43e79dbf65f7c02","2026-09-18","建设台账/全图范围核对.json","首批分析对象","CONFIRMED","93338;107491;113993;114013;118141;147921;148124;159763;159768;171370;189972;201318;203879;206208;208230;220979;223867;224351;230202;245631;245660;245696","未作人工决定"
"T-cf195d2c3247a3c5","pdata_n.t98_otc_deri_comp_sale_info","T98_场外衍生品合约销售收入基本信息表","","","未核对","","","","","","","","","","","","全图节点（已有externalReads或finalWrites）","第二模块公共加工候选","保留待判定","候选群共享输入及已读样本线索，边界待核","销售基础、管理归属与逐日金额","7","K006;K071;K072;K034;K038;K095;K099","PHYSICAL_IDENTITY","dataset:5a5caef0289d22c7e3f34c3fb23f11ced5ca7ed35d22726c3bb48d046a2cf559","","86840;86841;86842;220650","93338;103457;105743;107491;113993;114013;118141;118143;123781;134690;144887;146386;146516;147921;148124;154068;155410;156651;159763;159768;162610;162618;171347;171364;171370;189972;201252;201318;201483;203306;203311;203879;206208;208230;208608;220979;220981;223867;224351;228241;229121;230202;231146;234584;245631;245660;245696","134690;189972;245631;245660;245696","839da39beabd864403f17502d91d1db6631d0698f0c835d037712546ff7d053e","9dbe562350452a41ae13c1b95f260a631fce9d2f9b8dceeba43e79dbf65f7c02","2026-09-18","建设台账/全图范围核对.json","首批分析对象","CONFIRMED","86840;86841;86842;93338;103457;105743;107491;113993;114013;118141;118143;123781;134690;144887;146386;146516;147921;148124;154068;155410;156651;159763;159768;162610;162618;171347;171364;171370;189972;201252;201318;201483;203306;203311;203879;206208;208230;208608;220650;220979;220981;223867;224351;228241;229121;230202;231146;234584;245631;245660;245696","未作人工决定"
"T-fe9451047d093de6","pdata_n.t98_otc_opt_comp_sub_trd_pal_sum","T98_场外期权合约子交易盈亏汇总","","","未核对","","","","","","","","","","","","全图节点（已有externalReads或finalWrites）","第二模块公共加工候选","保留待判定","候选群共享输入及已读样本线索，边界待核","期权合约、子交易与定价结果整理","","K009","PHYSICAL_IDENTITY","dataset:4337c322651c4d1def43ab87c6607ada3aff3c5fba9ab3c29ce2bab4768109d3","","169145","175990;181058","","8b4a22dbd3a2c32c7d3637127f718ec6144901dc7232e21949c2d0e4b92297d8","9dbe562350452a41ae13c1b95f260a631fce9d2f9b8dceeba43e79dbf65f7c02","2026-09-18","建设台账/全图范围核对.json","首批分析对象","CONFIRMED","169145;175990;181058","未作人工决定"
"T-78332a1353a5b99e","pdata_n.t98_otc_swap_comp_leg_valu_info","T98_场外互换合约估值信息","","","未核对","","","","","","","","","","","","全图节点（已有externalReads或finalWrites）","第二模块公共加工候选","保留待判定","候选群共享输入及已读样本线索，边界待核","互换合约、账簿与持仓整理","2","K008;K090","PHYSICAL_IDENTITY","dataset:f92608c1cde34bca7fdbb72c0b3c7336229965b220aa3d1a4e247539b2b92b79","","106210;107641;183098;211644","106210;107937;118174;172356;176330;183098;185234;211619;218601;228241;229121;233302;243357","233302","f711469c51c90a33de4f8494359160b9d310736d858c9cdfec4d04ae1c635536","9dbe562350452a41ae13c1b95f260a631fce9d2f9b8dceeba43e79dbf65f7c02","2026-09-18","建设台账/全图范围核对.json","首批分析对象","CONFIRMED","106210;107641;107937;118174;172356;176330;183098;185234;211619;211644;218601;228241;229121;233302;243357","未作人工决定"
"T-d71810da3e756a9e","pdata_n.t98_sb_otc_opt_comp_info","每天一份快照，公司自营场外期权业务的核心合约信息表","","","未核对","","","","","","","","","","","","全图节点（已有externalReads或finalWrites）","第二模块公共加工候选","保留待判定","候选群共享输入及已读样本线索，边界待核","期权合约、子交易与定价结果整理","3","K009;K083;K087","PHYSICAL_IDENTITY","dataset:6bb80efc251b793f1930bb95ca4ce558523fe785986ae2f0d13e547b0935a9a0","","119044","150790;154591;159177;169145;171179;173563;173843;175990;176360;176599;176600;176827;176831;176839;176877;177267;177390;178833;181058;182997;199178;201568;207513;209894;219085;232836;237586;241773;243650","176599;176600;177390;178833;201568;207513;209894;219085;232836;237586","cfdbeeb44cf07bde173565576a2d7f9db3f1b5c57989e8203474299884b2eb72","9dbe562350452a41ae13c1b95f260a631fce9d2f9b8dceeba43e79dbf65f7c02","2026-09-18","建设台账/全图范围核对.json","首批分析对象","CONFIRMED","119044;150790;154591;159177;169145;171179;173563;173843;175990;176360;176599;176600;176827;176831;176839;176877;177267;177390;178833;181058;182997;199178;201568;207513;209894;219085;232836;237586;241773;243650","未作人工决定"
"T-2eba8b526e6c825c","pdata_n.t98_sb_otc_opt_sub_trd_prcg_indx","每天一份快照，自营场外期权合约按日计算的希腊字母（波动率风险）定价指标表","","","未核对","","","","","","","","","","","","全图节点（已有externalReads或finalWrites）","第二模块公共加工候选","保留待判定","候选群共享输入及已读样本线索，边界待核","期权合约、子交易与定价结果整理","","K009","PHYSICAL_IDENTITY","dataset:ee70e2cdd71d350031b2f4a1e6e2e1f1e22c13f4265c002a8e70a5ace547f60c","","121573;121574;154812;154813;154814;160493;160494","121574;150790;154812;154813;154814;155118;155157;160494;171179;172318;175990;176827;176831;176839;181058","","30be68e59eb8e38d7916485421131dda8695be0d217f1101824321ba65aa2017","9dbe562350452a41ae13c1b95f260a631fce9d2f9b8dceeba43e79dbf65f7c02","2026-09-18","建设台账/全图范围核对.json","首批分析对象","CONFIRMED","121573;121574;150790;154812;154813;154814;155118;155157;160493;160494;171179;172318;175990;176827;176831;176839;181058","未作人工决定"
"T-c114075c2bdca885","pdata_n.t98_sb_otc_swap_comp_info","每天一份快照，公司自营场外互换业务的核心合约主数据表","","","未核对","","","","","","","","","","","","全图节点（已有externalReads或finalWrites）","第二模块公共加工候选","保留待判定","候选群共享输入及已读样本线索，边界待核","互换合约、账簿与持仓整理","3","K008;K083;K034","PHYSICAL_IDENTITY","dataset:8bfedab27396b1ef2107fed850807e8ed54089c754022acbff7bfb955880ded2","","163672;211623","118174;138186;138194;138206;138208;154591;155118;163286;171179;171347;171364;171370;171450;173559;173843;176330;176610;176864;176930;176941;177390;178833;199176;204172;207514;209894;218601;219085;232836;237586;241773;243229;243650","171450;176610;177390;178833;204172;207514;209894;219085;232836;237586;243229","d6a9f87a8b58528c12d8505a0ed2b293f421918c6a6e2db3c143e895f69d1195","9dbe562350452a41ae13c1b95f260a631fce9d2f9b8dceeba43e79dbf65f7c02","2026-09-18","建设台账/全图范围核对.json","首批分析对象","CONFIRMED","118174;138186;138194;138206;138208;154591;155118;163286;163672;171179;171347;171364;171370;171450;173559;173843;176330;176610;176864;176930;176941;177390;178833;199176;204172;207514;209894;211623;218601;219085;232836;237586;241773;243229;243650","未作人工决定"
