"候选群","任务数","写入关联对象数","涉及库","任务","共同输入示例","全部输出表","说明"
"K001","12","1","dm_index_n","66411;66412;66413;66415;66416;66686;66670;91298;91304;66419;66471;95146","dm_index_n.hold_def_hot;dm_index_n.hold_tag_relation_pre;pdata_news_n.t02_scr_type;pdata_news_n.t02_marg_base_info","dm_index_n.hold_tag_relation","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K002","9","3","dm_rsk_n","178749;178766;183769;183777;183817;183820;178769;183831;183844","pdata_news_n.t02_fin_fctr_data;pdata_news_n.t02_fin_fctr_def;pdata_news_n.t02_fin_fctr_term_stru_def;pdata_n.t99_trd_cal_ref","dm_rsk_n.curv_delay_abn_hand_info;dm_rsk_n.curv_lack_abn_hand_info;dm_rsk_n.curv_jump_abn_hand_info","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K003","9","9","dm_index_n","237459;237468;237474;237478;237480;237481;237483;237485;237486","dm_index_n.wide_idx_cust_aum_tot_score;dm_index_n.wide_idx_optional_index_score","dm_index_n.wide_idx_cust_aum_tot_score_7006;dm_index_n.wide_idx_cust_aum_tot_score_7007;dm_index_n.wide_idx_cust_aum_tot_score_7023;dm_index_n.wide_idx_cust_aum_tot_score_7029;dm_index_n.wide_idx_cust_aum_tot_score_7013;dm_index_n.wide_idx_cust_aum_tot_score_315;dm_index_n.wide_idx_cust_aum_tot_score_7025;dm_index_n.wide_idx_cust_aum_tot_score_7014;dm_index_n.wide_idx_cust_aum_tot_score_7020","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K004","8","3","dm_rsk_n","159489;159495;159497;159506;160791;160792;160794;160795","pdata_nds.bundle_margin_daily_result;pdata_nds.pos_position_daily;pdata_nds.pos_trs_leg_his_pos;pdata_nds.pos_trs_leg_valuation;pdata_nds.pos_trs_underlying_valuation;pdata_nds.ref_book;pdata_nds.ref_counterparty;pdata_nds.ref_trs","dm_rsk_n.otc_trs_risk_plreport_bkup;dm_rsk_n.otc_trs_risk_plreport_temp;dm_rsk_n.otc_trs_risk_plreport","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K005","7","7","pdata_n","61521;153220;61540;61629;208648;61524;61645","odata_n_pas.j_hssemp_employee_post;odata_n_pas.j_hssemp_employee_post_ver;pdata_n.t04_emp_frnt;odata_n_pas.j_hssbsi_defdoc_detail;odata_n_pas.j_hssemp_employee_post_status;odata_n_pas.j_hssemp_employee_basedoc;odata_n_pas.j_hssemp_employee_basedoc_ver;odata_n_pas.j_hssorg_org","pdata_n.t04_emp_stat_h;pdata_n.t04_emp_stati_info_h;pdata_n.t04_emp_inr_org_rela_h;pdata_n.t04_emp_rela_h;pdata_n.t04_emp_imp_date_h;pdata_n.t04_emp_pos_asgn_h;pdata_n.t04_emp","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K006","7","7","dm_index_n;dm_otc_n","93338;147921;148124;159763;159768;206208;224351","pdata_n.t98_otc_comp_mng_rela_info;pdata_n.t98_otc_deri_comp_sale_adtnl_det","dm_index_n.index_avg_dyna_nom_prin_year;dm_index_n.index_grp2_compscal_otcderi_cs_yearapd;dm_index_n.index_grp2_compscal_otcderi_cs_mthapd;dm_index_n.index_grp3_compscal_otcderi_cs_mthapd;dm_index_n.index_grp3_compscal_otcderi_cs_yearapd;dm_index_n.index_grp1_compscal_otcderi_cs_yearapd;dm_otc_n.otc_cust_daily_dyna_nom_prin","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K007","6","6","dm_index_n","87202;87209;87210;87211;89449;89450","pdata_n.t08_gks_chan_info;pdata_n.t98_gks_ord_base_info","dm_index_n.index_grp_gks_restore_order_chan;dm_index_n.index_grp_gks_restore_order_lvl1_chan;dm_index_n.index_grp_gks_restore_order_lvl2_chan;dm_index_n.index_grp_gks_restore_order_lvl3_chan;dm_index_n.index_grp_gks_restore_order_lock_org_flag;dm_index_n.index_grp_gks_restore_order_lock_refr_flag","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K008","6","6","dm_otc_n;dm_fin_n;dm_rsk_n;dm_hk_n","138194;173559;176330;176930;176941;218601","pdata_n.t98_otc_book_hold_sum;pdata_n.t98_otc_deri_book_info;pdata_n.t98_sb_otc_swap_comp_info;pdata_n.t98_otc_swap_comp_leg_valu_info","dm_otc_n.d_v_equity_trs_plreport;dm_fin_n.otc_v_fin_trs;dm_rsk_n.otc_comp_marg_det;dm_hk_n.fin_info_otc_trs;dm_hk_n.fin_trd_otc_comp_day;dm_rsk_n.trs_pal_stmt","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K009","6","7","dm_otc_n;dm_rsk_n","150790;175990;176827;181058;176831;176839","pdata_n.t98_sb_otc_opt_comp_info;pdata_n.t98_sb_otc_opt_sub_trd_prcg_indx;pdata_n.t98_sb_tit_day_hold_indx;pdata_n.t98_otc_opt_comp_sub_trd_pal_sum","dm_otc_n.otc_v_wm_greeks_pricing_tit;dm_otc_n.v_equity_plreport_contract;dm_otc_n.v_equity_plreport_contract_temp;dm_rsk_n.otc_opt_greek_val_det_h;dm_rsk_n.otc_opt_inr_comp_pal_sum;dm_rsk_n.otc_opt_inr_comp_pal_sum_temp;dm_rsk_n.otc_opt_mutl_undrl_prcg_indx","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K010","6","2","dm_rsk_n","180145;180208;185564;185587;185661;185665","pdata_n.t99_trd_cal_ref;pdata_news_n.t02_fin_fctr_def;pdata_news_n.t02_fin_fxr_fctr_def;pdata_news_n.t02_fin_impl_yield_undrl_def","dm_rsk_n.curv_delay_abn_hand_info;dm_rsk_n.curv_lack_abn_hand_info","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K011","5","4","pdata_n","61497;61546;132906;153221;153222","odata_n_pas.j_hssemp_employee_basedoc_ver;pdata_n.t04_emp_frnt;odata_n_pas.j_hssemp_employee_basedoc","pdata_n.t04_emp_idty_info_h;pdata_n.t04_emp_name_h;pdata_n.t04_emp_imp_date_h;pdata_n.t04_emp_stati_info_h","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K012","5","1","dm_index_n","66551;66616;163725;66676;83444","dm_index_n.hold_def_hot;dm_index_n.real_account_info;pdata_n.t03_ast_acct","dm_index_n.hold_tag_relation","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K013","5","5","dm_index_n","148419;149048;161054;161152;149236","dm_index_n.index_grp3_compscal_otcderi_cs_yearapd;dm_index_n.index_grp3_org_emp_cstdprd_avgast_aum_year;pdata_news_n.t02_scr_trd_cal;pdata_nds.om_flip_new_orgid","dm_index_n.index_grp2_std_ast_bef_covt_year_apd;dm_index_n.index_grp2_std_ast_aft_covt_year_apd;dm_index_n.index_grp3_cust_org_emp_std_ast_bef_covt_year_apd;dm_index_n.index_grp3_cust_org_emp_std_ast_aft_covt_year_apd;dm_index_n.index_grp1_stdast_covtfrnt_astpkgrela_yearapd","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K014","5","1","dm_index_n","150221;164123;167963;184842;153067","dm_index_n.hold_def_daily_dict_stock;pdata_pcav_n.mid_sta_acs_single_stock_daily_profit;dm_index_n.real_account_info","dm_index_n.pcav_hold_index","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K015","5","5","dm_index_n","173057;174370;174537;174933;174918","dm_index_n.grp_tag_client_whth_valid_flag;pdata_n.t98_cust_brok_mng_rela_info;pdata_n.t98_cust_corp_cust_base_info;pdata_n.t98_cust_indv_cust_base_info;dm_index_n.index_grp1_ast;dm_index_n.index_grp1_yield_fullacct_year_retandorgcntr","dm_index_n.index_grp1_vld_accttotast_servordevrela_tdy;dm_index_n.index_grp1_notvld_acct_servordevrela_year;dm_index_n.index_grp1_vld_acctnetastnetinamt_servordevrela_year;dm_index_n.index_grp1_vld_acct_servordevrela_year;dm_index_n.index_grp1_vld_acctpalamt_servordevrela_year","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K016","5","5","dm_index_n","199245;207351;199817;199809;199879","pdata_n.t04_emp_inr_list_det;pdata_n.t98_brch_team_info;pdata_n.t98_brch_team_men_det;dm_index_n.index_grp1_emp_income_fullcali_devrela_delredpfee_tdy_pmthaccum;dm_index_n.index_grp1_income_exam_pqtrastendastpkgrela_mth_retandorgcntr;dm_index_n.index_grp1_stdast_covtfrnt_astpkgrela_delcorp_delrepocust_mthapd","dm_index_n.index_grp1_emp_totincome_devrela_teamleader_mth;dm_index_n.index_grp1_emp_totincome_devrela_teamleader_ninclteamleader_mth;dm_index_n.index_grp1_totincome_astpkgrela_teamleader_delnotprtcexamprsn_mth;dm_index_n.index_grp1_astincomerate_astpkgrela_teamleader_delnotprtcexamprsn_mth;dm_index_n.index_grp1_apdtotast_astpkgrela_teamleader_delnotprtcexamprsn_mth","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K017","4","4","pdata_n","63212;63385;63605;63753","odata_n_ta5.d_ta_taccoinfo;odata_n_ta5.d_ta_tcustomerinfo","pdata_n.t01_corp_reg_info;pdata_n.t01_corp_cust;pdata_n.t01_pty_addr_info;pdata_n.t01_pty_stat_h","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K018","4","4","dm_index_n","66541;107360;166106;166108","dm_index_n.grp_hold_relation;dm_index_n.hold_index;dm_index_n.hold_tag_relation","dm_index_n.index_grp_trade_amt_exch_rcc;dm_index_n.index_grp_mktval_nts;dm_index_n.index_grp1_cust_doctranoamt_covtrmb_tdy_all;dm_index_n.index_grp1_cust_docbkamt_covtrmb_tdy_all","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K019","4","4","dm_index_n","87097;87130;87141;89236","pdata_n.t05_gks_tel_revst_evt;pdata_n.t98_gks_ord_base_info","dm_index_n.index_grp_gks_restore_order_fir_call_time;dm_index_n.index_grp_gks_restore_order_call_times;dm_index_n.index_grp_gks_restore_order_sum_dura;dm_index_n.index_grp_gks_restore_order_fir_abt_serv_time","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
"K020","4","4","dm_index_n","184973;184974;235871;235878","dm_index_n.grp_tag_client_aum_perf_exam;dm_index_n.index_grp2_cust_stdast_covtpst_examapp_mth","dm_index_n.index_grp1_emp_std_ast_aum_bgng_mth_all;dm_index_n.index_grp1_emp_std_ast_aum_end_mth_all;dm_index_n.index_grp2_cust_emp_std_ast_aum_bgng_mth_all;dm_index_n.index_grp2_cust_emp_std_ast_aum_end_mth_all","共享输入结构的候选核对批次，不等于业务专题；不保证任意两成员都相似"
