"左任务","右任务","加权相似度","共同输入物理身份","共同输入表"
"37438","66147","1.000000","dataset:dbdcdd68a5e4d632f77d494331fcd3f5eabd2f9b6cb5d1b086c36afe3389150b;dataset:239a9b9edba7f63f77863d2822c27172249fd49cfeec086ceb1dd7395387b59c;dataset:aafa6e82b3afe24cf86169f572c672438bf29da2549459b5ee3523a419cee497;dataset:b1fca94aab4a5e5c489c9d1c06c3324a93677e7a3355aed315971b3f50233f55","pdata_n.t01_pty_addr_info;pdata_n.t01_pty_inr_org_rela_h;pdata_n.t01_pty_stat_h;pdata_n.t01_pty_ecif_map"
"66148","68873","0.621396","dataset:dbdcdd68a5e4d632f77d494331fcd3f5eabd2f9b6cb5d1b086c36afe3389150b;dataset:239a9b9edba7f63f77863d2822c27172249fd49cfeec086ceb1dd7395387b59c;dataset:aafa6e82b3afe24cf86169f572c672438bf29da2549459b5ee3523a419cee497;dataset:aa6bc0cb785d74be087d7df8cb9d8238813db7c423d3d52eea7cb7c4a6dcde4d;dataset:a4cbd877b665fa3ac405982ddebaea8a21289cea3e34071887cb51f67e613554;dataset:91cd687d70418b090085f6fff179773c42f46f16ce9a7eabb9a13b1cb8713e9b;dataset:4c726630c4e2d4f06d31074d02ddcb414a59dbe516a678546f58c8dd8d467401","pdata_n.t01_pty_addr_info;pdata_n.t01_pty_inr_org_rela_h;pdata_n.t01_pty_stat_h;pdata_n.t01_corp_cust;pdata_n.t01_corp_reg_info;pdata_n.t03_ast_acct;pdata_n.t03_scr_acct"
"68275","68873","0.646105","dataset:dbdcdd68a5e4d632f77d494331fcd3f5eabd2f9b6cb5d1b086c36afe3389150b;dataset:239a9b9edba7f63f77863d2822c27172249fd49cfeec086ceb1dd7395387b59c;dataset:aafa6e82b3afe24cf86169f572c672438bf29da2549459b5ee3523a419cee497;dataset:91cd687d70418b090085f6fff179773c42f46f16ce9a7eabb9a13b1cb8713e9b;dataset:4c726630c4e2d4f06d31074d02ddcb414a59dbe516a678546f58c8dd8d467401;dataset:4da742aac0278c286953bb8f8031d4a910518ba38a636991b0d9f91b89917b20;dataset:3bf85551621bf99db1137b80218a46d2a331bba310593c5cb7c9d0ffe876b833","pdata_n.t01_pty_addr_info;pdata_n.t01_pty_inr_org_rela_h;pdata_n.t01_pty_stat_h;pdata_n.t03_ast_acct;pdata_n.t03_scr_acct;pdata_n.t05_acct_chg_evt;pdata_n.t01_pty_emp_rela"
"59441","66203","0.644585","dataset:f2cf60a789866f583c38e6a13a2e44669a340a62ae2025eafcab9eb9e4869dc5;dataset:d6fd30fb48ffee224e4808497748ee45e36c673e6293af1e0cd34deca9c93946;dataset:c1e715904740ef6d2e4b3e8c90cf1a845b68d0844fb3a8a1ed7c62e232c2c47c;dataset:4e81eb16f0888753234c62425515101bc811514090064de88388a290e62e081c","odata_n_rcc.h_his_assurecode;odata_n_uip.w_tb_object_1090;odata_n_rcc.u_stkcode;odata_n_uip.w_tb_object_1120"
"59457","66185","0.721057","dataset:25c11c92a0e780728f014bc25df2949b9fd8e041c0cb1f8ae8fd3248b04b4317;dataset:98323631b89bf3793afd49b56661a6b4eb1ab2f3064977e842c3141a9ae605c9","odata_n_icc.h_his_price;odata_n_icc.h_his_optprice"
"73031","73034","1.000000","dataset:f41a09dfc419c33b848033a50eaa263d3e2bd10d2fc632bc669620484fbee9a2;dataset:2ae56f7acac054a386a803d126462d42b755417f8ff7e15bc339095b83340dac;dataset:ffae0c8b94bcfecebb6a375f9fcc50f5edc0706472bba5e3dbc8978df0742198;dataset:22d550cb45abd344b4a3739a7a35cf6011b33b10df54c219209a58b9cc86f99f;dataset:c4887568feaa0ad9c44f1b550683516a8d47c06095f619b2951137481d21fefd","odata_n_ioa.i_gf_department;odata_n_ioa.i_gf_user_del;odata_n_ioa.i_gf_user;odata_n_ioa.i_gf_role_user;odata_n_ioa.i_gf_role"
"61497","61546","1.000000","dataset:eafa58d3a685e8b428cf9dc34fb7da5d92f51b586b50b2790b70b4fee35fdefb;dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc","odata_n_pas.j_hssemp_employee_basedoc_ver;pdata_n.t04_emp_frnt"
"61497","132906","0.617945","dataset:eafa58d3a685e8b428cf9dc34fb7da5d92f51b586b50b2790b70b4fee35fdefb;dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc","odata_n_pas.j_hssemp_employee_basedoc_ver;pdata_n.t04_emp_frnt"
"61497","153221","1.000000","dataset:eafa58d3a685e8b428cf9dc34fb7da5d92f51b586b50b2790b70b4fee35fdefb;dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc","odata_n_pas.j_hssemp_employee_basedoc_ver;pdata_n.t04_emp_frnt"
"61497","153222","0.617945","dataset:eafa58d3a685e8b428cf9dc34fb7da5d92f51b586b50b2790b70b4fee35fdefb;dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc","odata_n_pas.j_hssemp_employee_basedoc_ver;pdata_n.t04_emp_frnt"
"61524","61629","0.579269","dataset:eafa58d3a685e8b428cf9dc34fb7da5d92f51b586b50b2790b70b4fee35fdefb;dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc;dataset:bd08e56b40d4078926545fa32c45ffbc203e18f957c9d9bb0564e2af3e343475;dataset:89dc9a9c1f4a0159fde3bf76fa94b0b13d762d7444a3440824358077f0bbb926;dataset:ac92afa3a3b909dec729ea7c8058d0891c7c5779162a0e5374ea84d1445d9260;dataset:ecbe9e83b04b6847a48bcaad8458abab89bbb8a7384fb1f39fc72864f207cefb;dataset:e1dafc76f9e26b9688cc8edda802df7f93a561c67d28154d661d4bd0a879a0f4","odata_n_pas.j_hssemp_employee_basedoc_ver;pdata_n.t04_emp_frnt;odata_n_pas.j_hssemp_employee_post;odata_n_pas.j_hssemp_employee_post_ver;odata_n_pas.j_hssbsi_defdoc_detail;odata_n_pas.j_hssemp_employee_post_status;odata_n_pas.j_hssemp_employee_basedoc"
"61524","61645","0.583941","dataset:eafa58d3a685e8b428cf9dc34fb7da5d92f51b586b50b2790b70b4fee35fdefb;dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc;dataset:bd08e56b40d4078926545fa32c45ffbc203e18f957c9d9bb0564e2af3e343475;dataset:89dc9a9c1f4a0159fde3bf76fa94b0b13d762d7444a3440824358077f0bbb926;dataset:ac92afa3a3b909dec729ea7c8058d0891c7c5779162a0e5374ea84d1445d9260;dataset:ecbe9e83b04b6847a48bcaad8458abab89bbb8a7384fb1f39fc72864f207cefb;dataset:d2c8428e2d346a2570eb33e8ffc2e204eb7038ad178dfab44ef673a6fdd3f64c;dataset:f1d8d9e34c86d604e5a176b300b3ee6613446ec65ddfddf60f0a0d128ee0d25a;dataset:efa2154cd5ce12a878dc38fd0b6afadd1c9f265354d6cd0d18e1b11c09013b2a;dataset:8c0592a1b30a84b640548bd540d7b2691afbfc09b00c527169e793be68bd875f;dataset:e1dafc76f9e26b9688cc8edda802df7f93a561c67d28154d661d4bd0a879a0f4","odata_n_pas.j_hssemp_employee_basedoc_ver;pdata_n.t04_emp_frnt;odata_n_pas.j_hssemp_employee_post;odata_n_pas.j_hssemp_employee_post_ver;odata_n_pas.j_hssbsi_defdoc_detail;odata_n_pas.j_hssemp_employee_post_status;odata_n_pas.j_hssorg_post;odata_n_pas.j_hssorg_post_ver;odata_n_pas.j_hssorg_org;odata_n_pas.j_hssorg_org_ver;odata_n_pas.j_hssemp_employee_basedoc"
"61546","132906","0.617945","dataset:eafa58d3a685e8b428cf9dc34fb7da5d92f51b586b50b2790b70b4fee35fdefb;dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc","odata_n_pas.j_hssemp_employee_basedoc_ver;pdata_n.t04_emp_frnt"
"61546","153221","1.000000","dataset:eafa58d3a685e8b428cf9dc34fb7da5d92f51b586b50b2790b70b4fee35fdefb;dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc","odata_n_pas.j_hssemp_employee_basedoc_ver;pdata_n.t04_emp_frnt"
"61546","153222","0.617945","dataset:eafa58d3a685e8b428cf9dc34fb7da5d92f51b586b50b2790b70b4fee35fdefb;dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc","odata_n_pas.j_hssemp_employee_basedoc_ver;pdata_n.t04_emp_frnt"
"132906","153221","0.617945","dataset:eafa58d3a685e8b428cf9dc34fb7da5d92f51b586b50b2790b70b4fee35fdefb;dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc","odata_n_pas.j_hssemp_employee_basedoc_ver;pdata_n.t04_emp_frnt"
"132906","153222","1.000000","dataset:eafa58d3a685e8b428cf9dc34fb7da5d92f51b586b50b2790b70b4fee35fdefb;dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc;dataset:e1dafc76f9e26b9688cc8edda802df7f93a561c67d28154d661d4bd0a879a0f4","odata_n_pas.j_hssemp_employee_basedoc_ver;pdata_n.t04_emp_frnt;odata_n_pas.j_hssemp_employee_basedoc"
"153221","153222","0.617945","dataset:eafa58d3a685e8b428cf9dc34fb7da5d92f51b586b50b2790b70b4fee35fdefb;dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc","odata_n_pas.j_hssemp_employee_basedoc_ver;pdata_n.t04_emp_frnt"
"61521","153220","0.552269","dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc;dataset:bd08e56b40d4078926545fa32c45ffbc203e18f957c9d9bb0564e2af3e343475;dataset:89dc9a9c1f4a0159fde3bf76fa94b0b13d762d7444a3440824358077f0bbb926;dataset:ac92afa3a3b909dec729ea7c8058d0891c7c5779162a0e5374ea84d1445d9260;dataset:ecbe9e83b04b6847a48bcaad8458abab89bbb8a7384fb1f39fc72864f207cefb","pdata_n.t04_emp_frnt;odata_n_pas.j_hssemp_employee_post;odata_n_pas.j_hssemp_employee_post_ver;odata_n_pas.j_hssbsi_defdoc_detail;odata_n_pas.j_hssemp_employee_post_status"
"61524","61540","0.569977","dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc;dataset:bd08e56b40d4078926545fa32c45ffbc203e18f957c9d9bb0564e2af3e343475;dataset:89dc9a9c1f4a0159fde3bf76fa94b0b13d762d7444a3440824358077f0bbb926;dataset:ac92afa3a3b909dec729ea7c8058d0891c7c5779162a0e5374ea84d1445d9260;dataset:ecbe9e83b04b6847a48bcaad8458abab89bbb8a7384fb1f39fc72864f207cefb;dataset:efa2154cd5ce12a878dc38fd0b6afadd1c9f265354d6cd0d18e1b11c09013b2a;dataset:8c0592a1b30a84b640548bd540d7b2691afbfc09b00c527169e793be68bd875f","pdata_n.t04_emp_frnt;odata_n_pas.j_hssemp_employee_post;odata_n_pas.j_hssemp_employee_post_ver;odata_n_pas.j_hssbsi_defdoc_detail;odata_n_pas.j_hssemp_employee_post_status;odata_n_pas.j_hssorg_org;odata_n_pas.j_hssorg_org_ver"
"61540","61629","0.552877","dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc;dataset:bd08e56b40d4078926545fa32c45ffbc203e18f957c9d9bb0564e2af3e343475;dataset:89dc9a9c1f4a0159fde3bf76fa94b0b13d762d7444a3440824358077f0bbb926;dataset:ac92afa3a3b909dec729ea7c8058d0891c7c5779162a0e5374ea84d1445d9260;dataset:ecbe9e83b04b6847a48bcaad8458abab89bbb8a7384fb1f39fc72864f207cefb","pdata_n.t04_emp_frnt;odata_n_pas.j_hssemp_employee_post;odata_n_pas.j_hssemp_employee_post_ver;odata_n_pas.j_hssbsi_defdoc_detail;odata_n_pas.j_hssemp_employee_post_status"
"61540","153220","0.717873","dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc;dataset:bd08e56b40d4078926545fa32c45ffbc203e18f957c9d9bb0564e2af3e343475;dataset:89dc9a9c1f4a0159fde3bf76fa94b0b13d762d7444a3440824358077f0bbb926;dataset:ac92afa3a3b909dec729ea7c8058d0891c7c5779162a0e5374ea84d1445d9260;dataset:ecbe9e83b04b6847a48bcaad8458abab89bbb8a7384fb1f39fc72864f207cefb","pdata_n.t04_emp_frnt;odata_n_pas.j_hssemp_employee_post;odata_n_pas.j_hssemp_employee_post_ver;odata_n_pas.j_hssbsi_defdoc_detail;odata_n_pas.j_hssemp_employee_post_status"
"61629","153220","0.706357","dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc;dataset:bd08e56b40d4078926545fa32c45ffbc203e18f957c9d9bb0564e2af3e343475;dataset:89dc9a9c1f4a0159fde3bf76fa94b0b13d762d7444a3440824358077f0bbb926;dataset:ac92afa3a3b909dec729ea7c8058d0891c7c5779162a0e5374ea84d1445d9260;dataset:ecbe9e83b04b6847a48bcaad8458abab89bbb8a7384fb1f39fc72864f207cefb","pdata_n.t04_emp_frnt;odata_n_pas.j_hssemp_employee_post;odata_n_pas.j_hssemp_employee_post_ver;odata_n_pas.j_hssbsi_defdoc_detail;odata_n_pas.j_hssemp_employee_post_status"
"153220","208648","0.584286","dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc;dataset:bd08e56b40d4078926545fa32c45ffbc203e18f957c9d9bb0564e2af3e343475;dataset:89dc9a9c1f4a0159fde3bf76fa94b0b13d762d7444a3440824358077f0bbb926","pdata_n.t04_emp_frnt;odata_n_pas.j_hssemp_employee_post;odata_n_pas.j_hssemp_employee_post_ver"
