"任务","名称","范围角色","候选加工群","实际读取物理对象","写入关联物理对象","读取对象数","写入对象数","SQL筛查","投影哈希","说明"
"37438","PDATA_N.T98_CUST_INDV_CUST_BASE_INFO","中间加工待识别","K044","dataset:cdc417deb302c596c9beb7c14af7d68196b6e713561b66b7c21861b7aad28aee;dataset:dbdcdd68a5e4d632f77d494331fcd3f5eabd2f9b6cb5d1b086c36afe3389150b;dataset:5bfdfb891d6f792ccd0127077895e7e1a1bdbeebe222f3e1fa2d5dc882ca211a;dataset:239a9b9edba7f63f77863d2822c27172249fd49cfeec086ceb1dd7395387b59c;dataset:23b13077753b594b6dc75f0395dd6620018b6e30f0d7ed7b83668862bf3d4c67;dataset:6b107f6cc3771c2f871533d146534893afd147bb58b319c019df5112b141324b;dataset:aafa6e82b3afe24cf86169f572c672438bf29da2549459b5ee3523a419cee497;dataset:c63a1d4ba2d991eee977b9ebcc200de429636d291ba9218448851250889ddd22;dataset:b1fca94aab4a5e5c489c9d1c06c3324a93677e7a3355aed315971b3f50233f55;dataset:41c79fc4d5f07e133e0cf614fabc864f4c5f7426d422ca1b3720572872dec951;dataset:5ae63b1571562da6b312951da1502799db1864df676a7975d1bba3482b707f6a","dataset:6fe25163880c746448571f127e3e774ec3d12233239487215a34281dfd0dbdfa","11","1","多来源或计算线索","aaf246e4c8f251ed0e9d197bb8456f48a8b732b17a69667bfa71b2bb294ba206","读写为任务级观察；不将全部输入输出两两解释为因果"
"39356","pdata_news_n.t02_scr_base_info_TA5","第一模块文档命中（仅折叠生产侧候选）","未聚组","dataset:6c86767dda915fdf6e9e094c5140f3ab93e995ad66cdc4e7efa31d031a9caedf","dataset:d1d317cd9977de850494e7de333613711dc9d5f0343bcf41f687737495ed186c","1","1","多来源或计算线索","ac5519980b59e8d6ef564340b111ff222facb634c9ff46ee8972c2b659e03da1","读写为任务级观察；不将全部输入输出两两解释为因果"
"39719","pdata_news_n.t02_scr_base_info_ACV","第一模块文档命中（仅折叠生产侧候选）","未聚组","dataset:c6aa4577ef4f038aa1448edf13a83b1da0662f5f9a0465c599336992369f567d;dataset:d5b08c027cf4e95f2e27a3707514d47daeb285cfdf39b0c9bca0fd7c34da6b75;dataset:48904e45f83350400f59ba2b8f343e70e4949bf42f3b17c57267ca2d85253826","dataset:d1d317cd9977de850494e7de333613711dc9d5f0343bcf41f687737495ed186c","3","1","多来源或计算线索","276dd5a12b6780b5f049494865d9b6184a001903c8fa0b419070ff3714632bd5","读写为任务级观察；不将全部输入输出两两解释为因果"
"57572","PDATA_N.T01_PTY_STATI_INFO_H_RCC004","第一模块文档命中（仅折叠生产侧候选）","未聚组","dataset:e1eaae56e560b2ba53a81136aca353135888bafd0a81ada1e5b12fe47333545f;dataset:aae4a8990adb3405ff8af2c8ae94928e4b78e3e5c7ba88e6e7fc6eb9921ad605;dataset:71971a99b87b0481d0a8790abc33720ffa263533e9b532f22e3efb5b53846140","dataset:468f32c2e0e81f4af996ea87debc44fd7dccbdfbe4e8e110f1eaba4a379a5925","3","1","多来源或计算线索","de2f2ca7872c4e68998e3cab94ffeddd28ef3445ea94383d09a8b0e911257503","读写为任务级观察；不将全部输入输出两两解释为因果"
"57574","PDATA_N.T01_PTY_IMP_LKMAN_RCC004","第一模块文档命中（仅折叠生产侧候选）","未聚组","dataset:e1eaae56e560b2ba53a81136aca353135888bafd0a81ada1e5b12fe47333545f","dataset:afac39341b13fd68baba16642025a47ced18a7c6abccfb5d061cade720a7096c","1","1","未见复杂算子线索","57816c5d131846853b29e7148dfae675a46ec68e65ca8f2988fe1b0051c10089","读写为任务级观察；不将全部输入输出两两解释为因果"
"59440","pdata_news_n.t02_exch_quot_h_RCC_grp01","中间加工待识别","未聚组","dataset:79e69fb68708e1d5859a639894c26005ce86241d45cf608fd23f68ac9d802800;dataset:d1d317cd9977de850494e7de333613711dc9d5f0343bcf41f687737495ed186c;dataset:f2cf60a789866f583c38e6a13a2e44669a340a62ae2025eafcab9eb9e4869dc5;dataset:1c2c8e683476f5892ba2e87163991fe0608caa45aff0871908b9ce8616fdd876","dataset:0ac67b63719f6ea3f351ad800a8d293556cfd87b40a5f7c1df7ed5ca37ef7656","4","1","多来源或计算线索","45f5dcf5fb25cd0d335d60f70abae322e8b392e7e9d324440f341c98c93786e4","读写为任务级观察；不将全部输入输出两两解释为因果"
"59441","pdata_news_n.t02_exch_quot_h_RCC_grp02","中间加工待识别","K045","dataset:d1d317cd9977de850494e7de333613711dc9d5f0343bcf41f687737495ed186c;dataset:d6fd30fb48ffee224e4808497748ee45e36c673e6293af1e0cd34deca9c93946;dataset:c1e715904740ef6d2e4b3e8c90cf1a845b68d0844fb3a8a1ed7c62e232c2c47c;dataset:4e81eb16f0888753234c62425515101bc811514090064de88388a290e62e081c;dataset:f2cf60a789866f583c38e6a13a2e44669a340a62ae2025eafcab9eb9e4869dc5","dataset:0ac67b63719f6ea3f351ad800a8d293556cfd87b40a5f7c1df7ed5ca37ef7656","5","1","多来源或计算线索","3e54b4949307dd02fc77d493ae5e6a6e5745668e687af6ce9f120598829b6943","读写为任务级观察；不将全部输入输出两两解释为因果"
"59444","pdata_news_n.t02_scr_base_info_pre_RCC08","中间加工待识别","未聚组","dataset:be13dee927651da0dfaceb56476b859a60e486fb01bcb1cce7aed91724b28e84;dataset:d1d317cd9977de850494e7de333613711dc9d5f0343bcf41f687737495ed186c;dataset:879c9ca3e7fa50b1981471a74f67a0842f2687b8d4a5dcc8fa24ac76caca5701","dataset:b8a0298ec07bc20fe5d69828348c3c0871f950e8fb89dfcad60783d6cdc9e35b","3","1","多来源或计算线索","775454d34c75877ac8b7c1490b182e5c0ff91c6ae9157b99dbaec4225cc746ae","读写为任务级观察；不将全部输入输出两两解释为因果"
"59445","pdata_news_n.t02_scr_base_info_pre_RCC07","未见读取（原因待核，不聚组）","未聚组","","dataset:b8a0298ec07bc20fe5d69828348c3c0871f950e8fb89dfcad60783d6cdc9e35b","0","1","多来源或计算线索","376e36362ad2cf4013a6ca8e8d8c4a4bc1bebab31f05dbb413deacc0ae285470","读写为任务级观察；不将全部输入输出两两解释为因果"
"59446","pdata_news_n.t02_scr_base_info_ICC","第一模块文档命中（仅折叠生产侧候选）","未聚组","dataset:feb25b1d8e1f43ce1386fb5785e5f483815f3f6a949a9264aacd0ff50e7e7e40;dataset:879c9ca3e7fa50b1981471a74f67a0842f2687b8d4a5dcc8fa24ac76caca5701;dataset:6b608d6e20afc02ed8e2bf2b8239b4d682853f832395308ae2df73c054c2cccd;dataset:51984a290a0dfffd3e0f14e0fdbf7f00dfbeadc6584a78462e09e5ee6ab6bfcb;dataset:60b13c5b33b8eaafcb2ba2396719472c9f49872a7e0e5d8dd02c66f3f0325be9;dataset:2b41a71427f0d9ec8eaccb30fe4a90198124296a80c55495e4577819c20755ae;dataset:b8a0298ec07bc20fe5d69828348c3c0871f950e8fb89dfcad60783d6cdc9e35b","dataset:d1d317cd9977de850494e7de333613711dc9d5f0343bcf41f687737495ed186c","7","1","多来源或计算线索","f1ec97097665802761bfbc5dc96f33b1b5340cdda395924a8f3c97dea92d089d","读写为任务级观察；不将全部输入输出两两解释为因果"
