"查询起点任务","边类型","证据状态","来源任务或表","去向任务或表","所属任务","读取实例","写入实例"
"220979","READS_TABLE","OBSERVED","odata_n_ois.g_rev_hkcpty_bid_ask_spread_coef","220979","220979","task:220979:statement:0:relation:root.casttable.x.t.c_sp.x.read.g_rev_hkcpty_bid_ask_spread_coef",""
"220979","READS_TABLE","OBSERVED","odata_n_ois.g_rev_hk_cross_income_reward","220979","220979","task:220979:statement:0:relation:root.casttable.x.actl.read.g_rev_hk_cross_income_reward",""
"220979","READS_TABLE","OBSERVED","pdata_n.t98_otc_deri_comp_sale_info","220979","220979","task:220979:statement:0:relation:root.casttable.x.t.info.read.t98_otc_deri_comp_sale_info",""
"220979","READS_TABLE","OBSERVED","pdata_n.t99_deri_comp_base_coef_ref","220979","220979","task:220979:statement:0:relation:root.casttable.x.t.s_ba.read.t99_deri_comp_base_coef_ref",""
"220979","READS_TABLE","OBSERVED","pdata_n.t98_otc_deri_comp_sale_adtnl_det","220979","220979","task:220979:statement:0:relation:root.casttable.x.t.det.read.t98_otc_deri_comp_sale_adtnl_det",""
"220979","READS_TABLE","OBSERVED","pdata_n.t99_deri_comp_sprd_coef_ref","220979","220979","task:220979:statement:0:relation:root.casttable.x.t.s_sp.x.a.read.t99_deri_comp_sprd_coef_ref",""
"220979","READS_TABLE","OBSERVED","pdata_n.t01_otc_deri_cust","220979","220979","task:220979:statement:0:relation:root.casttable.x.t.cp.read.t01_otc_deri_cust",""
"220979","READS_TABLE","OBSERVED","odata_n_ois.g_rev_hk_contract_commission_rate","220979","220979","task:220979:statement:0:relation:root.casttable.x.t.s_cr.x.read.g_rev_hk_contract_commission_rate",""
"220979","READS_TABLE","OBSERVED","pdata_n.t05_otc_swap_comp_hold_chg_det","220979","220979","task:220979:statement:0:relation:root.casttable.x.t.evt.t.setop.b0.b.read.t05_otc_swap_comp_hold_chg_det",""
"220979","READS_TABLE","OBSERVED","pdata_n.t05_otc_comp_dura_chg_evt","220979","220979","task:220979:statement:0:relation:root.casttable.x.t.evt.t.setop.b0.a.read.t05_otc_comp_dura_chg_evt",""
"220979","READS_TABLE","OBSERVED","pdata_n.t98_otc_comp_mng_rela_info","220979","220979","task:220979:statement:0:relation:root.casttable.x.t.m.read.t98_otc_comp_mng_rela_info",""
"220979","READS_TABLE","OBSERVED","odata_n_tit.d_trd_daily_rebate_interest","220979","220979","task:220979:statement:0:relation:root.casttable.x.t.di.read.d_trd_daily_rebate_interest",""
"220979","READS_TABLE","OBSERVED","odata_n_ois.g_rev_hkcpty_bid_ask_commission_rate","220979","220979","task:220979:statement:0:relation:root.casttable.x.t.c_cr.x.read.g_rev_hkcpty_bid_ask_commission_rate",""
"220979","READS_TABLE","OBSERVED","pdata_news_n.t02_fxr_cfets_quot","220979","220979","task:220979:statement:0:relation:root.casttable.x.t.mid.read.t02_fxr_cfets_quot",""
"220979","READS_TABLE","OBSERVED","pdata_n.t98_otc_deri_comp_sale_info","220979","220979","task:220979:statement:0:relation:root.casttable.x.t.s_sp.x.b.read.t98_otc_deri_comp_sale_info",""
"220979","READS_TABLE","OBSERVED","pdata_n.t05_otc_comp_dura_chg_evt","220979","220979","task:220979:statement:0:relation:root.casttable.x.t.evt.t.setop.b1.read.t05_otc_comp_dura_chg_evt",""
"220979","READS_TABLE","OBSERVED","odata_n_ois.g_rev_hk_sales_base_coef","220979","220979","task:220979:statement:0:relation:root.casttable.x.t.c_ba.read.g_rev_hk_sales_base_coef",""
"220979","READS_TABLE","OBSERVED","odata_n_ois.g_rev_hk_capital_cost","220979","220979","task:220979:statement:0:relation:root.casttable.x.t.cc.x.read.g_rev_hk_capital_cost",""
"220979","WRITES_TABLE","CONFIRMED","222561","odata_n_ois.g_rev_hkcpty_bid_ask_spread_coef","222561","","write-observation:222561:platform-target:0"
"220979","WRITES_TABLE","CONFIRMED","228351","odata_n_ois.g_rev_hk_cross_income_reward","228351","","write-observation:228351:platform-target:0"
"220979","WRITES_TABLE","CONFIRMED","220650","pdata_n.t98_otc_deri_comp_sale_info","220650","","write-observation:220650:8"
"220979","WRITES_TABLE","CONFIRMED","86840","pdata_n.t98_otc_deri_comp_sale_info","86840","","write-observation:86840:8"
"220979","WRITES_TABLE","CONFIRMED","86841","pdata_n.t98_otc_deri_comp_sale_info","86841","","write-observation:86841:8"
"220979","WRITES_TABLE","CONFIRMED","86842","pdata_n.t98_otc_deri_comp_sale_info","86842","","write-observation:86842:8"
"220979","WRITES_TABLE","CONFIRMED","133055","pdata_n.t99_deri_comp_base_coef_ref","133055","","write-observation:133055:0"
"220979","WRITES_TABLE","CONFIRMED","107491","pdata_n.t98_otc_deri_comp_sale_adtnl_det","107491","","write-observation:107491:8"
"220979","WRITES_TABLE","CONFIRMED","133052","pdata_n.t99_deri_comp_sprd_coef_ref","133052","","write-observation:133052:0"
"220979","WRITES_TABLE","CONFIRMED","144562","pdata_n.t01_otc_deri_cust","144562","","write-observation:144562:6"
"220979","WRITES_TABLE","CONFIRMED","222562","odata_n_ois.g_rev_hk_contract_commission_rate","222562","","write-observation:222562:platform-target:0"
"220979","WRITES_TABLE","CONFIRMED","124564","pdata_n.t05_otc_swap_comp_hold_chg_det","124564","","write-observation:124564:0"
"220979","WRITES_TABLE","CONFIRMED","124565","pdata_n.t05_otc_comp_dura_chg_evt","124565","","write-observation:124565:0"
"220979","WRITES_TABLE","CONFIRMED","216458","pdata_n.t05_otc_comp_dura_chg_evt","216458","","write-observation:216458:0"
"220979","WRITES_TABLE","CONFIRMED","105743","pdata_n.t98_otc_comp_mng_rela_info","105743","","write-observation:105743:17"
"220979","WRITES_TABLE","CONFIRMED","228349","odata_n_tit.d_trd_daily_rebate_interest","228349","","write-observation:228349:platform-target:0"
"220979","WRITES_TABLE","CONFIRMED","225209","odata_n_ois.g_rev_hkcpty_bid_ask_commission_rate","225209","","write-observation:225209:platform-target:0"
"220979","WRITES_TABLE","CONFIRMED","105616","pdata_news_n.t02_fxr_cfets_quot","105616","","write-observation:105616:15"
"220979","WRITES_TABLE","CONFIRMED","222564","odata_n_ois.g_rev_hk_sales_base_coef","222564","","write-observation:222564:platform-target:0"
"220979","WRITES_TABLE","CONFIRMED","222565","odata_n_ois.g_rev_hk_capital_cost","222565","","write-observation:222565:platform-target:0"
"176330","READS_TABLE","OBSERVED","pdata_n.t03_otc_swap_comp_leg_info","176330","176330","task:176330:statement:0:relation:root.casttable.setop.b1.tl1.read.t03_otc_swap_comp_leg_info",""
"176330","READS_TABLE","OBSERVED","pdata_n.t98_otc_book_hold_sum","176330","176330","task:176330:statement:0:relation:root.casttable.setop.b1.last_pos.a.read.t98_otc_book_hold_sum",""
"176330","READS_TABLE","OBSERVED","pdata_n.t98_sb_otc_swap_comp_info","176330","176330","task:176330:statement:0:relation:root.casttable.setop.b1.trs.read.t98_sb_otc_swap_comp_info",""
"176330","READS_TABLE","OBSERVED","pdata_n.ref_dw_cd_val","176330","176330","task:176330:statement:0:relation:root.casttable.setop.b1.d.read.ref_dw_cd_val",""
