"物理节点标识","平台","库表","目录描述原意","元数据匹配依据","写入关联任务","读取关联任务","写入关联任务数","读取关联任务数","图内角色","名称规则候选分类","已核代表条目","SQL词法筛查线索","无externalReads的写入关联任务","指标标签名称匹配候选","环境提示","解释状态"
"dataset:58d80ae9079a44df3ab8227f7f729b5cb602d47bf5b45553bf25c87b54b12d71","hive","odata_n_prd.p_secum_order","","PHYSICAL_IDENTITY","38196","10356","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:93655b75f875dafe02977d6210677887899fdcf2517a80ae9d624c397d561f9a","hive","odata_n_prd.p_srv_order","","PHYSICAL_IDENTITY","40499","10356","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:0b50cfae05c1f4901da0a2533c3f376607a55eed68d8003382ec4300e0d2d875","hive","odata_n_prd.p_srv_order_his","","PHYSICAL_IDENTITY","40500","10356","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:1fa50d0e18c3be553296760a4f92b305fadb65b83d907a8ff2b9eb1645ef4ad8","hive","gfheguidb.prd_p_go_order","","PHYSICAL_IDENTITY","10356","","1","0","图内未见后续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:69785cc9a0d695eac2629aef28717879ef35525fbe2cac9c7c1bcf56aa22ebc5","hive","odata_n_tit.d_v_risk_rm_bundlereport_tit","【AI】风控视图-期权子交易信息表","PHYSICAL_IDENTITY","50050;103285;172105;172107","10580;92541;223556","4","3","有写入且被继续读取","持仓、风险与盈亏分析","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:210dfec44615e24fb53594eaf66e1e160d9b0a22b327a3d7a6f3351228f85885","postgre","public.cal_f_bundlreport_equity","场外期权","PHYSICAL_IDENTITY","10580","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:ddfb9bbe06c2b5a393361869cb14799dc79e07a64a548badf6d8aa56563c583a","postgre","public.basicproduct","","PHYSICAL_IDENTITY","","14799","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:06bcfe59563889731be952cc0e7d5fb50a505acc88d41739bcfe518182241714","hive","dm_prd.pc_basicproduct","","PHYSICAL_IDENTITY","14799","14801","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:8f8b5c496f2e43908a52ce095b99f695c14e434d2d2bf1f0f65f17898a0b835d","oracle","crmii.pc_basicproduct","","PHYSICAL_IDENTITY","14801","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:1fa95f22bcb1b255eff2e2fb1e317cfb2ebd5426a043c7b43d5930fc5c91530a","hive","dm_ecom_n.wt_sos_callback_success","网上开户呼叫中心电话回访通过明细表","PHYSICAL_IDENTITY","18407;124476","","2","0","图内未见后续读取","客户准入与服务管理","","未见复杂算子线索;多来源或计算线索","18407","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
