"物理身份","表名","中间加工读取任务数","候选群数","候选加工群","全部观察生产任务","聚组处理"
"dataset:c068faabef5c1265f552c9dc8c7acd4f88a685b3ff46d87544746b4a30ae3ea7","dm_index_n.grp_def","445","35","K019;K060;K007;K061;K062;K006;K064;K065;K066;K070;K075;K077;K078;K013;K080;K081;K082;K084;K085;K033;K034;K015;K020;K091;K016;K038;K094;K039;K040;K041;K042;K095;K022;K100;K083","63446;76846;85251;86835;88733;123215;200369;201192;237301","高复用输入，保留依赖但不促成聚组"
"dataset:71971a99b87b0481d0a8790abc33720ffa263533e9b532f22e3efb5b53846140","pdata_n.ref_cd_cvt_map","221","19","K011;K005;K017;K024;K049;K025;K050;K051;K048;K001;K029;K008;K014;K031;K004;K009;K089;K021;K093","","高复用输入，保留依赖但不促成聚组"
"dataset:d1d317cd9977de850494e7de333613711dc9d5f0343bcf41f687737495ed186c","pdata_news_n.t02_scr_base_info","209","16","K045;K046;K001;K053;K054;K055;K056;K057;K065;K032;K090;K037;K098;K074;K100;K043","39356;39719;59446;59485;59493;61529;61577;69471;69617;69635;69642;69774;69801;69848;70117;103230;103232;105024","第一模块文档命中，保留输入但不促成聚组"
"dataset:ea13700b2ea673c78faf939fe9d42a6bd44807c4f225628c84b1e10dcf5ceceb","dm_index_n.tag_def","190","16","K001;K052;K012;K061;K064;K065;K070;K077;K082;K075;K034;K039;K040;K041;K094;K083","","高复用输入，保留依赖但不促成聚组"
"dataset:f322d64cc13f2c1fedf2c1d26bc3f5dbf17e636b8ef92b75b28867c45f417aed","pdata_n.t03_otc_deri_book_adtnl_info","149","9","K083;K086;K087;K034;K009;K008;K090;K093;K074","105382;106096;144293","第一模块文档命中，保留输入但不促成聚组"
"dataset:f89b8c64b0d26b2f8480485076dcb50d14a95d7da34aec1126864981495c5522","pdata_news_n.t02_tit_scr_base_info","70","8","K068;K006;K030;K004;K087;K009;K090;K008","103234;103235;103236;103237;144303;211515","第一模块文档命中，保留输入但不促成聚组"
"dataset:41c79fc4d5f07e133e0cf614fabc864f4c5f7426d422ca1b3720572872dec951","pdata_n.ref_dw_cd_val","34","8","K044;K026;K048;K059;K066;K008;K087;K074","62633;142305;186147","高复用输入，保留依赖但不促成聚组"
"dataset:879c9ca3e7fa50b1981471a74f67a0842f2687b8d4a5dcc8fa24ac76caca5701","pdata_news_n.t02_pub_covt_const","108","7","K055;K057;K030;K009;K090;K092;K098","74850","第一模块文档命中，保留输入但不促成聚组"
"dataset:23b13077753b594b6dc75f0395dd6620018b6e30f0d7ed7b83668862bf3d4c67","pdata_n.t01_pty_name","42","7","K044;K026;K068;K087;K090;K093;K096","63634;63653;63700;63702;63703;63731;63732;63775;63792;63794;63805;63823;73196;77079;104299;105076;144561","第一模块文档命中，保留输入但不促成聚组"
"dataset:5a5caef0289d22c7e3f34c3fb23f11ced5ca7ed35d22726c3bb48d046a2cf559","pdata_n.t98_otc_deri_comp_sale_info","42","7","K006;K071;K072;K034;K038;K095;K099","86840;86841;86842;220650","高复用输入，保留依赖但不促成聚组"
"dataset:87bb0c983bbd36efbb7599b806d1e6cf6427317bbf474cd3a1ae3e191638d224","pdata_n.t98_org_brch_div_info","46","6","K012;K069;K073;K074;K077;K015","61593","高复用输入，保留依赖但不促成聚组"
"dataset:7ac42558fef06b1fd2fb083947bc3874a9851ff1ec7490ab3317346efecd9ccc","pdata_n.t03_agt_stati_info_h","43","6","K027;K068;K008;K087;K090;K093","98304;103939;105069;105385;105387;105527;144289;210925","第一模块文档命中，保留输入但不促成聚组"
"dataset:4bc6bd11ad92b856c0e3f26937a55c37bb91d12ffc689634e503d05b578c8b2f","pdata_news_n.t02_fut_base_info","36","6","K068;K030;K004;K002;K090;K037","70099;105612;105862;144301;150919;211516","第一模块文档命中，保留输入但不促成聚组"
"dataset:e2b739b64af71674a0cde9d4fe61d4528cfa5c4d9de4c0b16251ebbca10f1f3a","pdata_news_n.t02_fxr_cfets_quot","27","6","K004;K008;K090;K093;K099;K043","105616;105863;144066;144298;151401;211752","第一模块文档命中，保留输入但不促成聚组"
"dataset:6ebabb447f462a09ed915b5632b2638807e7870ada3725edaa3f3361364cff0e","pdata_nds.om_flip_new_orgid","18","6","K013;K085;K039;K040;K042;K041","","参与相似计算；同时保留跨群复用"
"dataset:37a5d673846c0cb127f7fed7c44232647c94522662d3d2554e9c4492b1c4d66f","pdata_n.t98_otc_deri_comp_sale_adtnl_det","17","6","K006;K071;K072;K034;K038;K099","107491","参与相似计算；同时保留跨群复用"
"dataset:239a9b9edba7f63f77863d2822c27172249fd49cfeec086ceb1dd7395387b59c","pdata_n.t01_pty_inr_org_rela_h","16","6","K044;K026;K039;K040;K042;K041","63238","参与相似计算；同时保留跨群复用"
"dataset:2eb2a33c62057a1e01375519b9e6c34ad4eabe5f525dd5f6b073fade8163badf","pdata_n.t98_brok_indv_cust_base_info","70","5","K060;K069;K070;K074;K100","68275","高复用输入，保留依赖但不促成聚组"
"dataset:e4b3adf0b6ff37620a08c69009d1d80e6d37a0148814261f0adc2418edd6b23d","pdata_n.t98_brok_corp_cust_base_info","67","5","K066;K069;K074;K070;K100","68873","高复用输入，保留依赖但不促成聚组"
"dataset:7a0a012ae59ca1cef54144681535a6ac8f9384c233f6208eb3817299d44374bc","pdata_news_n.tyzx_exch_quot_h_fk","33","5","K035;K002;K010;K036;K037","104663;104933;144020;144022;183785;208352","高复用输入，保留依赖但不促成聚组"
"dataset:2a28c31d675728b6bcbc6c1a6f4fbc6f26832e7103ee1bfd3c88ba3d543ae4fa","pdata_n.t01_pty_emp_rela_adtnl_info","30","5","K085;K091;K040;K042;K041","102002","高复用输入，保留依赖但不促成聚组"
"dataset:ebe7b81d4e802129ab4551ebaf68dbb9f4e25312ec8e62d418dc5b3f63dcf3be","pdata_news_n.t02_fin_fctr_def","26","5","K088;K002;K010;K036;K037","","参与相似计算；同时保留跨群复用"
"dataset:30a45da7fcbdb2d48cab3d0633a118bfbd9a81fe395bc3f35c8f3298e9b3e185","pdata_n.t99_trd_cal_ref","23","4","K004;K002;K010;K021","62548","参与相似计算；同时保留跨群复用"
"dataset:e305ba49f95bb496054a40c861934469db1d1ba96d36b45a53c258a6324bade1","pdata_n.t98_otc_comp_mng_rela_info","21","4","K006;K071;K072;K099","105743","参与相似计算；同时保留跨群复用"
"dataset:5ae63b1571562da6b312951da1502799db1864df676a7975d1bba3482b707f6a","pdata_n.t01_pty","20","4","K044;K048;K026;K078","61526;61601;63101;63165;63168;63179;63182;63195;63206;63216;63262;76984;77076;77078;144556","第一模块文档命中，保留输入但不促成聚组"
