"源物理表ID","平台","数据源","源表","源表中文注释","消费任务ID","任务名称","候选输出及中文注释","候选具体写入数","候选写入证据ID","SQL材料组","相关SQL哈希","证据可用状态","固定读取定位状态","内容绑定级别","核读状态","使用模式","已确认具体输出","当前Facts写入","Facts字段绑定目标","缺口/待判断","Facts清单哈希","证据文件"
"dataset:f322d64cc13f2c1fedf2c1d26bc3f5dbf17e636b8ef92b75b28867c45f417aed","hive","gfhive","pdata_n.t03_otc_deri_book_adtnl_info","每天一份快照，记录场外衍生品账簿的生效到期日、所属机构、交易与风控开关、底层标的映射等附加配置信息，用于账簿管理与业务控制。","107018","PDATA_N.T98_OTC_SWAP_COMP_TRD_UNDRL_INFO","pdata_n.t98_otc_swap_comp_trd_undrl_info（每天一份快照，场外互换合约对应交易标的的基础信息与行情信息表）","1","write-observation:107018:0","SQLG-597ee87f6b64c8ca","query:6d875301037813f5b68ade3f5fb5c85bc389cc06698d70859015fcc94167eb2d","AVAILABLE","FIXED_READ_LOCATORS_PRESENT_IN_CURRENT_FACTS","LOCATOR_PRESENCE_ONLY; CROSS_VERSION_SEMANTICS_UNVERIFIED","已完成Facts细粒度提取与局部解释","P09_BOOK_REASSIGNMENT","pdata_n.t98_otc_swap_comp_trd_undrl_info","pdata_n.t98_otc_swap_comp_trd_undrl_info|PROFILE_DECLARED|NO_STATEMENT；pdata_n.t98_otc_swap_comp_trd_undrl_info|SQL_PARSE|task:107018:slot:query:statement:0","pdata_n.t98_otc_swap_comp_trd_undrl_info","映射规则优先级及UNION去重后的唯一目标账簿；映射目标账簿是否存在多快照行","809c748b74c3eea99f45ca69a4a3e05206c3913fd42c68fde97816eebe5ed5ff","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\107018\versions\f7b3beb4429184183ce59f64445e82f95ecc4133d49dde4df922d7247fb7d9f3.evidence-v3.json"
"dataset:f322d64cc13f2c1fedf2c1d26bc3f5dbf17e636b8ef92b75b28867c45f417aed","hive","gfhive","pdata_n.t03_otc_deri_book_adtnl_info","每天一份快照，记录场外衍生品账簿的生效到期日、所属机构、交易与风控开关、底层标的映射等附加配置信息，用于账簿管理与业务控制。","107024","PDATA_N.T98_OTC_SWAP_COMP_TRD_UNDRL_INFO","pdata_n.t98_otc_swap_comp_trd_undrl_info（每天一份快照，场外互换合约对应交易标的的基础信息与行情信息表）","1","write-observation:107024:0","SQLG-f40290d3eb7adbec","query:f6fbae28b38783e627172002c9f8ea06f6fbeb84356616b53d338fcf270a0ebd","AVAILABLE","FIXED_READ_LOCATORS_PRESENT_IN_CURRENT_FACTS","LOCATOR_PRESENCE_ONLY; CROSS_VERSION_SEMANTICS_UNVERIFIED","未进入Facts细粒度提取范围（达到20个不同SQL材料组上限）","","","pdata_n.t98_otc_swap_comp_trd_undrl_info|PROFILE_DECLARED|NO_STATEMENT；pdata_n.t98_otc_swap_comp_trd_undrl_info|SQL_PARSE|task:107024:slot:query:statement:0","pdata_n.t98_otc_swap_comp_trd_undrl_info","未进入20个SQL材料组核读范围，不能判定具体使用模式或受影响输出","45ff9764a499b3901ef56409cb3f5763004ceaed0a9d97e617981916e4f22107","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\107024\versions\e0a91d6f8c03055387e62ea7b3e00514f7a493d2876b39fa43b241f9aa033daf.evidence-v3.json"
"dataset:f322d64cc13f2c1fedf2c1d26bc3f5dbf17e636b8ef92b75b28867c45f417aed","hive","gfhive","pdata_n.t03_otc_deri_book_adtnl_info","每天一份快照，记录场外衍生品账簿的生效到期日、所属机构、交易与风控开关、底层标的映射等附加配置信息，用于账簿管理与业务控制。","107937","PDATA_N.T98_OTC_SWAP_COMP_VALU_SUM","pdata_n.t98_otc_swap_comp_valu_sum（每天增量追加，场外互换合约按估值日的整体估值与盈亏汇总表，用于互换合约逐日估值、分端损益核算、风险计量与财务对账。）","1","write-observation:107937:0","SQLG-676592d820a1ec74","query:b79c6ecab4d99959dcb0e66e149f56c3769eb99867ba7d5ad5959edea71b70ba","AVAILABLE","FIXED_READ_LOCATORS_PRESENT_IN_CURRENT_FACTS","LOCATOR_PRESENCE_ONLY; CROSS_VERSION_SEMANTICS_UNVERIFIED","未进入Facts细粒度提取范围（达到20个不同SQL材料组上限）","","","pdata_n.t98_otc_swap_comp_valu_sum|PROFILE_DECLARED|NO_STATEMENT；pdata_n.t98_otc_swap_comp_valu_sum|SQL_PARSE|task:107937:slot:query:statement:0","pdata_n.t98_otc_swap_comp_valu_sum","未进入20个SQL材料组核读范围，不能判定具体使用模式或受影响输出","7becd2dc6a103dfd7ab54d45b896cfdeb505216e98fd65c2f9044733ca13de9c","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\107937\versions\969a80b95fee431d97b22f1e48b439fa464361d811f94cdae522255cf949d1ec.evidence-v3.json"
"dataset:f322d64cc13f2c1fedf2c1d26bc3f5dbf17e636b8ef92b75b28867c45f417aed","hive","gfhive","pdata_n.t03_otc_deri_book_adtnl_info","每天一份快照，记录场外衍生品账簿的生效到期日、所属机构、交易与风控开关、底层标的映射等附加配置信息，用于账簿管理与业务控制。","114782","dm_ecif.cust_otc_acctast_s","dm_ecif.cust_otc_acctast_s（OTC客户账户资产信息）","1","write-observation:114782:11","SQLG-7c222198faf05120","create:02c4bb601492dbdde22e2ff9aa0bceccd49b96815c9119a22ca60e8732e4466a","AVAILABLE","FIXED_READ_LOCATORS_PRESENT_IN_CURRENT_FACTS","LOCATOR_PRESENCE_ONLY; CROSS_VERSION_SEMANTICS_UNVERIFIED","已完成Facts细粒度提取与局部解释","P02_OTC_BOOK_ELIGIBILITY","dm_ecif.cust_otc_acctast_s","dm_ecif.cust_otc_acctast_s|PROFILE_DECLARED|NO_STATEMENT；dm_ecif.cust_otc_acctast_s|SQL_PARSE|task:114782:slot:create:statement:0；temp_n.temp_v_ecif_capital_balance_001|SQL_PARSE|task:114782:slot:create:statement:1；temp_n.temp_v_ecif_trs_nav_001|SQL_PARSE|task:114782:slot:create:statement:2；temp_n.temp_v_ecif_margin_balance_001|SQL_PARSE|task:114782:slot:create:statement:3；temp_n.temp_v_ecif_option_nav_001|SQL_PARSE|task:114782:slot:create:statement:4；temp_n.temp_cust_otc_acctast_001|SQL_PARSE|task:114782:slot:create:statement:5；dm_ecif.cust_otc_acctast_s|SQL_PARSE|task:114782:slot:query:statement:5","dm_ecif.cust_otc_acctast_s；temp_n.temp_cust_otc_acctast_001；temp_n.temp_v_ecif_capital_balance_001；temp_n.temp_v_ecif_margin_balance_001；temp_n.temp_v_ecif_option_nav_001；temp_n.temp_v_ecif_trs_nav_001","两个资产分支的账簿键在当日快照是否唯一；被账簿条件排除的资产规模与客户数","3773212d4d18759517222f262ebdebe14bffd160a5099e04a1f1e1a370c701cb","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\114782\versions\227d514eee794a24fcdfccb5d59ba36a032f6f87c15fb8f581ac1170a5199cf3.evidence-v3.json"
"dataset:f322d64cc13f2c1fedf2c1d26bc3f5dbf17e636b8ef92b75b28867c45f417aed","hive","gfhive","pdata_n.t03_otc_deri_book_adtnl_info","每天一份快照，记录场外衍生品账簿的生效到期日、所属机构、交易与风控开关、底层标的映射等附加配置信息，用于账簿管理与业务控制。","119044","PDATA_N.T98_SB_OTC_OPT_COMP_INFO","pdata_n.t98_sb_otc_opt_comp_info（每天一份快照，公司自营场外期权业务的核心合约信息表）","1","write-observation:119044:0","SQLG-224f282c15cd50e7","query:c391b5fe9b2d6f8bb3707eb21f47a33f6df0a8735cbec5148593258e48ab9241","AVAILABLE","FIXED_READ_LOCATORS_PRESENT_IN_CURRENT_FACTS","LOCATOR_PRESENCE_ONLY; CROSS_VERSION_SEMANTICS_UNVERIFIED","未进入Facts细粒度提取范围（达到20个不同SQL材料组上限）","","","pdata_n.t98_sb_otc_opt_comp_info|PROFILE_DECLARED|NO_STATEMENT；pdata_n.t98_sb_otc_opt_comp_info|SQL_PARSE|task:119044:slot:query:statement:0","pdata_n.t98_sb_otc_opt_comp_info","未进入20个SQL材料组核读范围，不能判定具体使用模式或受影响输出","5733b33597e60a354fd4e1365ad6d93907d95c49551cf50a91c628723870544b","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\119044\versions\002cceb8bdd46fcbe312ca3408d4b986b1b6375e16133b549a43f50a5a996299.evidence-v3.json"
"dataset:f322d64cc13f2c1fedf2c1d26bc3f5dbf17e636b8ef92b75b28867c45f417aed","hive","gfhive","pdata_n.t03_otc_deri_book_adtnl_info","每天一份快照，记录场外衍生品账簿的生效到期日、所属机构、交易与风控开关、底层标的映射等附加配置信息，用于账簿管理与业务控制。","123781","PDATA_N.T98_OTC_TRD_COMP_INFO","pdata_n.t98_otc_trd_comp_info（OTC交易合约信息）","1","write-observation:123781:0","SQLG-380cd1181a8e9e34","query:36dc0a9acbd0162d18204e5a0acd82192bd96b67e27ba0b01e81eb50bdd0cedc","AVAILABLE","FIXED_READ_LOCATORS_PRESENT_IN_CURRENT_FACTS","LOCATOR_PRESENCE_ONLY; CROSS_VERSION_SEMANTICS_UNVERIFIED","未进入Facts细粒度提取范围（达到20个不同SQL材料组上限）","","","pdata_n.t98_otc_trd_comp_info|PROFILE_DECLARED|NO_STATEMENT；pdata_n.t98_otc_trd_comp_info|SQL_PARSE|task:123781:slot:query:statement:0","pdata_n.t98_otc_trd_comp_info","未进入20个SQL材料组核读范围，不能判定具体使用模式或受影响输出","c4b113bcdd3d4f58756e68dcb977dc48c6c0fca86265c929a24de616c71b66e0","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\123781\versions\2654cbc4db9a7d5103f55d33fea33dea8dabb4bcb48b8f5ce19c758b3c0eb48e.evidence-v3.json"
"dataset:f322d64cc13f2c1fedf2c1d26bc3f5dbf17e636b8ef92b75b28867c45f417aed","hive","gfhive","pdata_n.t03_otc_deri_book_adtnl_info","每天一份快照，记录场外衍生品账簿的生效到期日、所属机构、交易与风控开关、底层标的映射等附加配置信息，用于账簿管理与业务控制。","134140","dm_hk_n.trd_otc_contr_report","dm_hk_n.trd_otc_contr_report（OTCHK交易-合约报备信息）","1","write-observation:134140:platform-target:0","SQLG-5cd55c715c37fd65","query:0de15fbbe21ee667efcfb27d6e08eaa7427f691163a6f3b75cb1cec2e9991a87","AVAILABLE","FIXED_READ_LOCATORS_PRESENT_IN_CURRENT_FACTS","LOCATOR_PRESENCE_ONLY; CROSS_VERSION_SEMANTICS_UNVERIFIED","未进入Facts细粒度提取范围（达到20个不同SQL材料组上限）","","","dm_hk_n.trd_otc_contr_report|PROFILE_DECLARED|NO_STATEMENT；dm_hk_n.trd_otc_contr_report|PLATFORM_TARGET|task:134140:slot:query:statement:0","dm_hk_n.trd_otc_contr_report","未进入20个SQL材料组核读范围，不能判定具体使用模式或受影响输出","fcac1a53dbb7162a00b30a156f4f94d850169e246b1e089994064a240a99c16f","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\134140\versions\fe53fec217c759b0a31f813ca66273343b5ad1a64f9f70be1e8be7fb28cbcda1.evidence-v3.json"
"dataset:f322d64cc13f2c1fedf2c1d26bc3f5dbf17e636b8ef92b75b28867c45f417aed","hive","gfhive","pdata_n.t03_otc_deri_book_adtnl_info","每天一份快照，记录场外衍生品账簿的生效到期日、所属机构、交易与风控开关、底层标的映射等附加配置信息，用于账簿管理与业务控制。","134143","dm_hk_n.ref_op_deal_autocall_kidate","dm_hk_n.ref_op_deal_autocall_kidate（OTCHK交易-期权敲入观察日及票息信息）","1","write-observation:134143:platform-target:0","SQLG-b3a860c3bbae2370","query:f7009e9fc342df6121c24ea35b984d833078cff57dddc5175950136bc5b14cc9","AVAILABLE","FIXED_READ_LOCATORS_PRESENT_IN_CURRENT_FACTS","LOCATOR_PRESENCE_ONLY; CROSS_VERSION_SEMANTICS_UNVERIFIED","未进入Facts细粒度提取范围（达到20个不同SQL材料组上限）","","","dm_hk_n.ref_op_deal_autocall_kidate|PROFILE_DECLARED|NO_STATEMENT；dm_hk_n.ref_op_deal_autocall_kidate|PLATFORM_TARGET|task:134143:slot:query:statement:0","dm_hk_n.ref_op_deal_autocall_kidate","未进入20个SQL材料组核读范围，不能判定具体使用模式或受影响输出","3e527ae654320889f58b2abf30feaec705a38e9cf65bcd5424cc2fa44661fe13","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\134143\versions\203c6c7c2f58823cb0aea091fe91a54d15760ae1c67bf7c756983715c5fdff44.evidence-v3.json"
"dataset:f322d64cc13f2c1fedf2c1d26bc3f5dbf17e636b8ef92b75b28867c45f417aed","hive","gfhive","pdata_n.t03_otc_deri_book_adtnl_info","每天一份快照，记录场外衍生品账簿的生效到期日、所属机构、交易与风控开关、底层标的映射等附加配置信息，用于账簿管理与业务控制。","134146","dm_hk_n.ref_op_deal_autocall_kodate","dm_hk_n.ref_op_deal_autocall_kodate（OTCHK交易-期权敲出观察日及票息信息）","1","write-observation:134146:platform-target:0","SQLG-7a7226199cf73c97","query:db17a074fded0a8e759435c559bdf2974c3ae1984ddf75ccbe69d9168608b4fd","AVAILABLE","FIXED_READ_LOCATORS_PRESENT_IN_CURRENT_FACTS","LOCATOR_PRESENCE_ONLY; CROSS_VERSION_SEMANTICS_UNVERIFIED","未进入Facts细粒度提取范围（达到20个不同SQL材料组上限）","","","dm_hk_n.ref_op_deal_autocall_kodate|PROFILE_DECLARED|NO_STATEMENT；dm_hk_n.ref_op_deal_autocall_kodate|PLATFORM_TARGET|task:134146:slot:query:statement:0","dm_hk_n.ref_op_deal_autocall_kodate","未进入20个SQL材料组核读范围，不能判定具体使用模式或受影响输出","b7dd86e43e4dfd448d2a1939a402867d9103be5e686d07dc1c4bd39361e45e96","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\134146\versions\3f541a2b23d5ce734b8c4ea0558c917851815fc6fd325a07efb4b28125f63635.evidence-v3.json"
"dataset:f322d64cc13f2c1fedf2c1d26bc3f5dbf17e636b8ef92b75b28867c45f417aed","hive","gfhive","pdata_n.t03_otc_deri_book_adtnl_info","每天一份快照，记录场外衍生品账簿的生效到期日、所属机构、交易与风控开关、底层标的映射等附加配置信息，用于账簿管理与业务控制。","134148","dm_hk_n.ref_option_deal_barrier","dm_hk_n.ref_option_deal_barrier（OTCHK交易-期权合约结构-障碍价格）","1","write-observation:134148:platform-target:0","SQLG-e8c6d0e348f0c8b0","query:e4eb8ea8e27bcb9ad3c4f945a513ce8cd3740ae9740f79f5945d4c041a6c15b7","AVAILABLE","FIXED_READ_LOCATORS_PRESENT_IN_CURRENT_FACTS","LOCATOR_PRESENCE_ONLY; CROSS_VERSION_SEMANTICS_UNVERIFIED","未进入Facts细粒度提取范围（达到20个不同SQL材料组上限）","","","dm_hk_n.ref_option_deal_barrier|PROFILE_DECLARED|NO_STATEMENT；dm_hk_n.ref_option_deal_barrier|PLATFORM_TARGET|task:134148:slot:query:statement:0","dm_hk_n.ref_option_deal_barrier","未进入20个SQL材料组核读范围，不能判定具体使用模式或受影响输出","6d4a5687293e116a8dc550b532ee0a0f993b93b2f166a5b169358e9069097c09","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\134148\versions\2329e4e19414e338c458fa1c9feceebc11b478c9c224417d4218715b12aad226.evidence-v3.json"
