"源字段","源字段中文注释","源别名","Facts作用域","JOIN直接对侧字段","同一表达式/分组其他来源字段","用途","不同消费任务数","不同SQL材料组数","任务ID","条件/表达式示例","任务级证据ID","细粒度Facts证据ID","统计口径与分母"
"busi_date","业务日期","a","root.(child).setop.b0.setop.b0.rb；root.(child).setop.b0.setop.b1.rb；root.(child).setop.b1.rb；root.(child-1).t6；root.(child-2).t5；root.(child-5)；root.a；root.casttable.a；root.casttable.a.bb.b；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.rb_ori；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.setop.b1.t_nom_prin.rb；root.casttable.t1；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1；root.srctab.setop.b0.setop.b0.setop.b0.rb；root.srctab.setop.b0.setop.b0.setop.b1.rb","","","过滤条件","19","18","107018；114782；134167；138186；145871；171179；176610；184662；200030；200078；209119；209894；215700；221300；230202；234175；234256；241773；243918","busi_date='2026-05-23' AND SRC_TBL='ODATA_N_TIT.D_REF_BOOK'；src_tbl='ODATA_N_TIT.D_REF_BOOK' AND Bel_Dept = 'OTC' AND busi_date= '2026-05-18'；src_tbl='ODATA_N_TIT.D_REF_BOOK' AND busi_date= '2026-05-18' and Bel_Dept = 'OTC'","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-200030；E-200078；E-209119；E-209894；E-215700；E-221300；E-230202；E-234175；E-234256；E-241773；E-243918","FU-107018-48963684d9ab；FU-107018-4c62f7ee0da7；FU-114782-91a097874771；FU-114782-cdf16f3b348a；FU-134167-32a260dd0fb8；FU-138186-a687f0bca315；FU-145871-f9c7016f05f4；FU-171179-62cb8cb127b3；FU-171179-dc9255ec57c4；FU-176610-1861e256ce4a；FU-176610-4e5a137f5a81；FU-176610-d25503129a20；FU-184662-2b0cdec4c15c；FU-184662-cdbf10bf2e2c；FU-200030-b40af140ab6c；FU-200078-ca7fb2a3d164；FU-209119-0e80b446992f；FU-209119-4f797011df83；FU-209119-d795d6d35eb5；FU-209119-e87648f5995a；FU-209119-f45b077ad357；FU-209894-5485389a90f2；FU-209894-be6a3ce7d671；FU-209894-d72622fc109a；FU-209894-da97523b8671；FU-215700-932e07ab0f2b；FU-221300-31639f46e2ce；FU-221300-c82b933215ef；FU-230202-f989be701749；FU-234175-d48cc1f55a3d；FU-234256-9fc7e02a6ff1；FU-234256-b12ecfe68558；FU-241773-845516817238；FU-241773-990691ba736f；FU-243918-25948e69ac2f","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"src_tbl","源表","a","root.(child).setop.b0.setop.b1.rb；root.(child).setop.b1.rb；root.(child-1).t6；root.(child-2).t5；root.(child-5)；root.a；root.casttable.a；root.casttable.a.bb.b；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.rb_ori；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.setop.b1.t_nom_prin.rb；root.casttable.t1；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1；root.srctab.setop.b0.setop.b0.setop.b0.rb；root.srctab.setop.b0.setop.b0.setop.b1.rb","","","过滤条件","19","18","107018；114782；134167；138186；145871；171179；176610；184662；200030；200078；209119；209894；215700；221300；230202；234175；234256；241773；243918","busi_date='2026-05-23' AND SRC_TBL='ODATA_N_TIT.D_REF_BOOK'；src_tbl='ODATA_N_TIT.D_REF_BOOK' AND Bel_Dept = 'OTC' AND busi_date= '2026-05-18'；src_tbl='ODATA_N_TIT.D_REF_BOOK' AND busi_date= '2026-05-18' and Bel_Dept = 'OTC'","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-200030；E-200078；E-209119；E-209894；E-215700；E-221300；E-230202；E-234175；E-234256；E-241773；E-243918","FU-107018-4d001cb829e7；FU-107018-5e119459010b；FU-114782-5141ae2a36b2；FU-114782-ee27444ff8e8；FU-134167-b18cab38e76e；FU-138186-558b6510fb8a；FU-145871-1bb7eccd8134；FU-171179-130c3207c9db；FU-171179-ab21ac893847；FU-176610-3168a98e7819；FU-176610-49468a5d2b02；FU-176610-f75a155b2fb9；FU-184662-3d18f3d9ae84；FU-184662-8f18a9cfb55b；FU-200030-d7a299880dbe；FU-200078-43bd0a5145bc；FU-209119-71f554894ffd；FU-209119-a661f5d17e81；FU-209119-e542bb2218a4；FU-209119-f11eaa658451；FU-209894-11c51b6d17a6；FU-209894-503f83fa8390；FU-209894-92aeee98b70e；FU-209894-d244cb4c0f04；FU-215700-5d7864bae7d9；FU-221300-53b2f6265d47；FU-221300-e3f0153cedba；FU-230202-56a830c64ae4；FU-234175-0c393f451413；FU-234256-ad01c5af5cf7；FU-234256-f6126f57ecb8；FU-241773-528c4dc89258；FU-241773-e29759ffe4ad；FU-243918-7dd0286e70f3","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_co","所属公司","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","bel_co","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-4fd2727bb297；FU-107018-f6654c169963；FU-114782-208e694b3c4f；FU-114782-e2a86a8f4faa；FU-134167-ec26937136cc；FU-138186-a952afb734c3；FU-145871-e441b6e3be42；FU-171179-88f119c377f2；FU-171179-9eca7e0b8363；FU-176610-1ba645e0f34a；FU-176610-214a098fb316；FU-176610-60261361faac；FU-184662-22efb19d6e10；FU-184662-8ff9d5cef288；FU-209894-7b4c3dc6eec8；FU-209894-abc7be373f67；FU-209894-e35b9a046f98；FU-230202-9caa8e5e64e2；FU-234175-6a3a1343c24a；FU-234256-1b955f8c93a3","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_dept","所属部门","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","bel_dept","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-8d2b742d9ce5；FU-107018-fe205d2d6d6d；FU-114782-239cdf25d746；FU-114782-bbd561b675bf；FU-134167-8dd4f069d00b；FU-138186-145dd698aa5e；FU-145871-a04be814000b；FU-171179-0af97ce5a35f；FU-171179-53331681eab4；FU-176610-472886ef35ef；FU-176610-6421f3aa1029；FU-176610-99fc152c0855；FU-184662-2df12a49dcf8；FU-184662-61a0e85d177f；FU-209894-7579af2d1d51；FU-209894-cd75513064d6；FU-209894-e8bd899ee967；FU-230202-92372c8f84d6；FU-234175-a9bb9d7c8fb8；FU-234256-8bd39734c95a","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"book_agt_id","账簿协议编号","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","book_agt_id","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-120563356bf4；FU-107018-7ebe797986cc；FU-114782-5966e7f064b1；FU-114782-a7161edfdd35；FU-134167-104e70384409；FU-138186-1b2054eecb3a；FU-145871-50e5da6373c2；FU-171179-0afa2ff653df；FU-171179-525e5306b8d5；FU-176610-554a3ea5a183；FU-176610-b566e831ce00；FU-176610-e5e80294ffb1；FU-184662-8e4efb14395e；FU-184662-bf121f9f8496；FU-209894-6cd41dcfa0e1；FU-209894-a70eda7a4b3d；FU-209894-db62daf8ab68；FU-230202-626e17661264；FU-234175-138c85232e8f；FU-234256-821294ac6ae9","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"book_agt_modifr","账簿协议修饰符","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","book_agt_modifr","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-acd11fbf1adf；FU-107018-bad16140afff；FU-114782-582fdedba038；FU-114782-83e6d74d7e73；FU-134167-f3c1b662ac3e；FU-138186-77a3229fc5f2；FU-145871-f3b2ff272390；FU-171179-684f192bc80b；FU-171179-e30c486ba6e8；FU-176610-69f0075fae9f；FU-176610-a438ee12b761；FU-176610-ebf5f5b892de；FU-184662-13156e07ea24；FU-184662-ad4ebe00e2a8；FU-209894-340a4ce1c279；FU-209894-a3369e5b5bad；FU-209894-ab7e657e272a；FU-230202-36ec4df0fedd；FU-234175-7d8210e14327；FU-234256-49b47b90da1c","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"busi_date","业务日期","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","busi_date","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-324a6da3f6c7；FU-107018-e48d4ddfc9e5；FU-114782-2d725bbe8021；FU-114782-99f0d95b1ce3；FU-134167-3dc064ec0d3f；FU-138186-48b632b1b5b8；FU-145871-989e6c3da525；FU-171179-9d0a241a4c04；FU-171179-dc5089158740；FU-176610-466c8d994746；FU-176610-dfc93220c549；FU-176610-e0778d021925；FU-184662-0bd52814d743；FU-184662-2b2e7490e8f7；FU-209894-2ca64459eae7；FU-209894-a26e56316e1d；FU-209894-ad74c7e384ad；FU-230202-f9209b7cadb2；FU-234175-dc774a7c43d4；FU-234256-4d5e7d9930cf","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"cntr","柜台","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","cntr","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-6b02f3950669；FU-107018-72408a6af8ff；FU-114782-6ad8e084fea5；FU-114782-e41a2e42b756；FU-134167-6ae464f951b0；FU-138186-4316e9c41332；FU-145871-4a2b84593e50；FU-171179-ba49e4cfebb9；FU-171179-cffc390860ce；FU-176610-7ea09d1aaf9e；FU-176610-864773f5cfde；FU-176610-b6016a7a7176；FU-184662-e1e6e32a7805；FU-184662-fecb5383bd8a；FU-209894-7b175b9c8b40；FU-209894-a1d65b7e5d48；FU-209894-e1250470beb9；FU-230202-97eb7feb707d；FU-234175-f10657e28b73；FU-234256-07e81f647b88","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"data_etl_date","数据加载日期","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","data_etl_date","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-c8e28d968399；FU-107018-d6c4b9f4eeda；FU-114782-29b5bd1a4acc；FU-114782-7fc1dddc3b49；FU-134167-e581f3180427；FU-138186-d45f01e1f3c6；FU-145871-9c13607b50a7；FU-171179-5a11e7f3757b；FU-171179-dce87ea4b537；FU-176610-b13ea84756e7；FU-176610-b2e8f0a30aba；FU-176610-ffe51d9baef9；FU-184662-6c9d791e2564；FU-184662-e308b7c86837；FU-209894-3654f2380d2a；FU-209894-7ef52327e38d；FU-209894-cb656f92bba6；FU-230202-d8b75dc8c9b4；FU-234175-ca8719f106fe；FU-234256-974901c53381","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"data_src_cd","数据来源代码","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","data_src_cd","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-d41900066c74；FU-107018-de825582a0da；FU-114782-28445d20a473；FU-114782-6377967ef321；FU-134167-a0b063d851bd；FU-138186-c62384c37ccb；FU-145871-dfa73cde9d10；FU-171179-677a47f5ace7；FU-171179-d36e4d30371b；FU-176610-891bc179267a；FU-176610-ce8120a7c070；FU-176610-d8d6357b338b；FU-184662-6904a8db3003；FU-184662-b4a2b33b5337；FU-209894-342d70d401af；FU-209894-8cde9608e74f；FU-209894-c52ecc4e871d；FU-230202-c7a310dae61b；FU-234175-cd144d65979f；FU-234256-0a7194171ffc","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
