consumerTaskId,readOccurrenceId,table,before,after,reason
"100130","task:100130:statement:0:relation:root.casttable.t.t11.t2.read.index_grp_devpr_emp_id","dm_index_n.index_grp_devpr_emp_id","CANDIDATE_ONLY","FULLY_CONFIRMED","DAY_SAME_GRAIN_POLICY"
"100130","task:100130:statement:0:relation:root.casttable.t.t11.t3.t1.read.index_grp1_net_ast","dm_index_n.index_grp1_net_ast","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
"110695","task:110695:statement:0:relation:root.read.wt_tcust_oth_comp_stat_mon","dm_om_n.wt_tcust_oth_comp_stat_mon","CANDIDATE_ONLY","FULLY_CONFIRMED","FIXED_RANGE_INCLUSION"
"125761","task:125761:statement:0:relation:root.c.read.wt_crd_potential_cust_dev_label_s","dm_crd_n.wt_crd_potential_cust_dev_label_s","CANDIDATE_ONLY","FULLY_CONFIRMED","DAY_SAME_GRAIN_POLICY"
"136594","task:136594:statement:0:relation:root.casttable.setop.b0.cust.cust_list.asset.read.index_grp1_ast","dm_index_n.index_grp1_ast","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
"143497","task:143497:statement:0:relation:root.k.read.wt_taum_emp_indi_dim_data","dm_om_n.wt_taum_emp_indi_dim_data","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
"144891","task:144891:statement:0:relation:root.(child).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.khxx.setop.b0.a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.grp_tag_client_rich_cust_flag","dm_index_n.grp_tag_client_rich_cust_flag","CANDIDATE_ONLY","UNRESOLVED","READ_SCOPE_BINDING_REQUIRED"
"148368","task:148368:statement:0:relation:root.(child-2).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.a.s1.t1.read.index_grp2_cust_org_asset_std_mthaccum_all","dm_index_n.index_grp2_cust_org_asset_std_mthaccum_all","CANDIDATE_ONLY","UNRESOLVED","READ_SCOPE_BINDING_REQUIRED"
"148368","task:148368:statement:0:relation:root.(child-2).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.a.s2.setop.b0.t1.b.read.index_grp2_tnrprop_prdcust_mth","dm_index_n.index_grp2_tnrprop_prdcust_mth","CANDIDATE_ONLY","UNRESOLVED","READ_SCOPE_BINDING_REQUIRED"
"148368","task:148368:statement:0:relation:root.(child-2).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.index_grp2_apdtnramt_2026yearaumexamcali_mthapd","dm_index_n.index_grp2_apdtnramt_2026yearaumexamcali_mthapd","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
