consumerTaskId,taskCategory,table,readOccurrenceId,identityStatus,partitionPredicateStatus,evidencePath,projectionPath
"100130","sparkIndex","dm_index_n.index_grp_gks_restore_order_pty_id","task:100130:statement:0:relation:root.casttable.t.t1.t3.read.index_grp_gks_restore_order_pty_id","CONFIRMED","NONE","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.json"
"100130","sparkIndex","dm_index_n.index_grp_gks_restore_order_lvl3_chan","task:100130:statement:0:relation:root.casttable.t.t10.read.index_grp_gks_restore_order_lvl3_chan","CONFIRMED","NONE","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.json"
"100130","sparkIndex","dm_index_n.index_grp_devpr_emp_id","task:100130:statement:0:relation:root.casttable.t.t11.t2.read.index_grp_devpr_emp_id","CONFIRMED","NON_LITERAL_PRESENT","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.json"
"100130","sparkIndex","dm_index_n.index_grp1_net_ast","task:100130:statement:0:relation:root.casttable.t.t11.t3.t1.read.index_grp1_net_ast","CONFIRMED","NON_LITERAL_PRESENT","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.json"
"100130","sparkIndex","dm_index_n.grp_tag_client_whth_valid_flag","task:100130:statement:0:relation:root.casttable.t.t11.t4.read.grp_tag_client_whth_valid_flag","CONFIRMED","LITERAL","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.json"
"100130","sparkIndex","dm_index_n.index_grp_gks_restore_order_bef_devpr_emp_id","task:100130:statement:0:relation:root.casttable.t.t12.read.index_grp_gks_restore_order_bef_devpr_emp_id","CONFIRMED","NONE","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.json"
"100130","sparkIndex","dm_index_n.index_grp_gks_restore_order_fir_abt_serv_time","task:100130:statement:0:relation:root.casttable.t.t14.read.index_grp_gks_restore_order_fir_abt_serv_time","CONFIRMED","NONE","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.json"
"100130","sparkIndex","dm_index_n.index_grp_gks_restore_order_lock_refr_flag","task:100130:statement:0:relation:root.casttable.t.t15.read.index_grp_gks_restore_order_lock_refr_flag","CONFIRMED","NONE","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.json"
"100130","sparkIndex","dm_index_n.index_grp_gks_restore_order_lock_org_flag","task:100130:statement:0:relation:root.casttable.t.t16.read.index_grp_gks_restore_order_lock_org_flag","CONFIRMED","NONE","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.json"
"100130","sparkIndex","dm_index_n.index_grp_gks_restore_order_fir_open_app_time","task:100130:statement:0:relation:root.casttable.t.t3.read.index_grp_gks_restore_order_fir_open_app_time","CONFIRMED","NONE","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.json"
