taskId,taskCategory,taskName,coverageStatus,failureReasonCode,factsState,hasPack,hasQuerySql,targetKind,subReason,recommendedAction
2522,hive2postgre,"",SCHEDULE_ONLY,,STALE,false,false,none,MISSING_PACK,collect-input-pack-from-cache
10580,hive2postgre,"risk.cal_f_bundlreport_equity",COLLECTION_FAILED,SCHEMA_UNRESOLVED,LEGACY_NOT_L1,true,true,bare_string,SCHEMA_UNRESOLVED,supplement target table DDL/schema in RDBMS pack
31943,hiveTask-2.0,"spdata.pty_name_h",SCHEDULE_ONLY,,STALE,true,true,bare_string,NEED_FACTS_AND_TARGET_SCHEMA,machine-facts + supplement RDBMS/StarRocks target schema
34901,oracle2hive,"odata_n_tit.o_pos_otc_position_daily",SCHEDULE_ONLY,,STALE,true,true,bare_string,NEED_FACTS_AND_TARGET_SCHEMA,machine-facts + supplement RDBMS/StarRocks target schema
35045,runScript,"kafka_sender.start_TRANS_INS_WIND_CUR_TENOR_service",SCHEDULE_ONLY,,STALE,true,false,none,PACK_NO_SQL_NEED_FACTS_OR_SCHEDULE_ONLY,collect query SQL from szdata OR accept schedule-only
37015,hiveTask-2.0,"spdata.acct_tit_book",SCHEDULE_ONLY,,STALE,true,true,bare_string,NEED_FACTS_AND_TARGET_SCHEMA,machine-facts + supplement RDBMS/StarRocks target schema
37016,hiveTask-2.0,"spdata.evt_tit_otc_opt_trd",SCHEDULE_ONLY,,STALE,true,true,bare_string,NEED_FACTS_AND_TARGET_SCHEMA,machine-facts + supplement RDBMS/StarRocks target schema
37017,hiveTask-2.0,"spdata.agt_stat_h",SCHEDULE_ONLY,,STALE,true,true,bare_string,NEED_FACTS_AND_TARGET_SCHEMA,machine-facts + supplement RDBMS/StarRocks target schema
37018,hiveTask-2.0,"spdata.agt_otc_opt_subor_attr_h",SCHEDULE_ONLY,,STALE,true,true,bare_string,NEED_FACTS_AND_TARGET_SCHEMA,machine-facts + supplement RDBMS/StarRocks target schema
37020,hiveTask-2.0,"spdata.org_user_role_rela_h",SCHEDULE_ONLY,,STALE,true,true,bare_string,NEED_FACTS_AND_TARGET_SCHEMA,machine-facts + supplement RDBMS/StarRocks target schema
